text	tokenized	tok_nostem	preprocessed	label
[PERSON] , will you let me finish ?	['person', 'will', 'you', 'let', 'me', 'finish']	['person', 'will', 'you', 'let', 'me', 'finish']	person will you let me finish	1
All dead , you mean !	['all', 'dead', 'you', 'mean']	['all', 'dead', 'you', 'mean']	all dead you mean	1
All hands to rescue stations !	['all', 'hand', 'to', 'rescu', 'station']	['all', 'hands', 'to', 'rescue', 'stations']	all hand to rescu station	1, 2, 4
All happened on your watch .	['all', 'happen', 'on', 'your', 'watch']	['all', 'happened', 'on', 'your', 'watch']	all happen on your watch	1, 3
All I asked you is where the hell [PERSON] is .	['all', 'i', 'ask', 'you', 'is', 'where', 'the', 'hell', 'person', 'is']	['all', 'i', 'asked', 'you', 'is', 'where', 'the', 'hell', 'person', 'is']	all i ask you is where the hell person is	1
All I can charge him with is riding on a train . They're gonna walk .	['all', 'i', 'can', 'charg', 'him', 'with', 'is', 'ride', 'on', 'a', 'train', 'theyr', 'gonna', 'walk']	['all', 'i', 'can', 'charge', 'him', 'with', 'is', 'riding', 'on', 'a', 'train', 'theyre', 'gonna', 'walk']	all i can charg him with is ride on a train theyr gonna walk	1
All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .	['all', 'i', 'know', 'is', 'that', 'id', 'like', 'to', 'meet', 'a', 'member', 'of', 'the', 'judiciari', 'or', 'a', 'member', 'of', 'congress', 'that', 'think', 'that', 'this', 'situat', 'the', 'status', 'quo', 'is', 'satisfactori']	['all', 'i', 'know', 'is', 'that', 'id', 'like', 'to', 'meet', 'a', 'member', 'of', 'the', 'judiciary', 'or', 'a', 'member', 'of', 'congress', 'that', 'thinks', 'that', 'this', 'situation', 'the', 'status', 'quo', 'is', 'satisfactory']	all i know is that id like to meet a member of the judiciari or a member of congress that think that this situat the status quo is satisfactori	1, 3
All I want to do is make things as difficult as possible .	['all', 'i', 'want', 'to', 'do', 'is', 'make', 'thing', 'as', 'difficult', 'as', 'possibl']	['all', 'i', 'want', 'to', 'do', 'is', 'make', 'things', 'as', 'difficult', 'as', 'possible']	all i want to do is make thing as difficult as possibl	1
All I'm saying is maybe all the child needs is to be loved .	['all', 'im', 'say', 'is', 'mayb', 'all', 'the', 'child', 'need', 'is', 'to', 'be', 'love']	['all', 'im', 'saying', 'is', 'maybe', 'all', 'the', 'child', 'needs', 'is', 'to', 'be', 'loved']	all im say is mayb all the child need is to be love	8, 1, 2
All other movements are restricted .	['all', 'other', 'movement', 'are', 'restrict']	['all', 'other', 'movements', 'are', 'restricted']	all other movement are restrict	1, 2
All right , I will !	['all', 'right', 'i', 'will']	['all', 'right', 'i', 'will']	all right i will	1
All right , next time I hear it , I am taking it away .	['all', 'right', 'next', 'time', 'i', 'hear', 'it', 'i', 'am', 'take', 'it', 'away']	['all', 'right', 'next', 'time', 'i', 'hear', 'it', 'i', 'am', 'taking', 'it', 'away']	all right next time i hear it i am take it away	1
All right , not now , but you need to hear this .	['all', 'right', 'not', 'now', 'but', 'you', 'need', 'to', 'hear', 'this']	['all', 'right', 'not', 'now', 'but', 'you', 'need', 'to', 'hear', 'this']	all right not now but you need to hear this	1
All right , now , send that woman and her young ' uns out !	['all', 'right', 'now', 'send', 'that', 'woman', 'and', 'her', 'young', 'un', 'out']	['all', 'right', 'now', 'send', 'that', 'woman', 'and', 'her', 'young', 'uns', 'out']	all right now send that woman and her young un out	1
All right , [LOCATION] , that's enough .	['all', 'right', 'locat', 'that', 'enough']	['all', 'right', 'location', 'thats', 'enough']	all right locat that enough	1
All right , talk !	['all', 'right', 'talk']	['all', 'right', 'talk']	all right talk	1, 2
All right , what is it if I may ask , You do want to do ?	['all', 'right', 'what', 'is', 'it', 'if', 'i', 'may', 'ask', 'you', 'do', 'want', 'to', 'do']	['all', 'right', 'what', 'is', 'it', 'if', 'i', 'may', 'ask', 'you', 'do', 'want', 'to', 'do']	all right what is it if i may ask you do want to do	1
All right !	['all', 'right']	['all', 'right']	all right	1, 2, 5
All right . I'll talk to [PERSON] .	['all', 'right', 'ill', 'talk', 'to', 'person']	['all', 'right', 'ill', 'talk', 'to', 'person']	all right ill talk to person	1
All right . I've heard enough . I've heard enough .	['all', 'right', 'ive', 'heard', 'enough', 'ive', 'heard', 'enough']	['all', 'right', 'ive', 'heard', 'enough', 'ive', 'heard', 'enough']	all right ive heard enough ive heard enough	1, 3
All right . Let's go .	['all', 'right', 'let', 'go']	['all', 'right', 'lets', 'go']	all right let go	1, 2
All that Latino macho shit .	['all', 'that', 'latino', 'macho', 'shit']	['all', 'that', 'latino', 'macho', 'shit']	all that latino macho shit	1
All the officers were disloyal .	['all', 'the', 'offic', 'were', 'disloy']	['all', 'the', 'officers', 'were', 'disloyal']	all the offic were disloy	1, 3, 6, 7
All this talk's just wasting time .	['all', 'this', 'talk', 'just', 'wast', 'time']	['all', 'this', 'talks', 'just', 'wasting', 'time']	all this talk just wast time	1
All those bottles , of sizes different , completely in the wrong order ...	['all', 'those', 'bottl', 'of', 'size', 'differ', 'complet', 'in', 'the', 'wrong', 'order']	['all', 'those', 'bottles', 'of', 'sizes', 'different', 'completely', 'in', 'the', 'wrong', 'order']	all those bottl of size differ complet in the wrong order	1
All those guns and violence ...	['all', 'those', 'gun', 'and', 'violenc']	['all', 'those', 'guns', 'and', 'violence']	all those gun and violenc	1, 3, 4, 6
All you have to do ... is point her out and look the other way .	['all', 'you', 'have', 'to', 'do', 'is', 'point', 'her', 'out', 'and', 'look', 'the', 'other', 'way']	['all', 'you', 'have', 'to', 'do', 'is', 'point', 'her', 'out', 'and', 'look', 'the', 'other', 'way']	all you have to do is point her out and look the other way	1, 3, 7
All : Ohh , shit .	['all', 'ohh', 'shit']	['all', 'ohh', 'shit']	all ohh shit	1, 4
[PERSON] , what have you done my little sister ?	['person', 'what', 'have', 'you', 'done', 'my', 'littl', 'sister']	['person', 'what', 'have', 'you', 'done', 'my', 'little', 'sister']	person what have you done my littl sister	1
Alright , have it any way you want !	['alright', 'have', 'it', 'ani', 'way', 'you', 'want']	['alright', 'have', 'it', 'any', 'way', 'you', 'want']	alright have it ani way you want	1, 3
Alright , knock it off !	['alright', 'knock', 'it', 'off']	['alright', 'knock', 'it', 'off']	alright knock it off	1
Altitude !	['altitud']	['altitude']	altitud	1
Altitude ? - Altitude . You want some altitude ?	['altitud', 'altitud', 'you', 'want', 'some', 'altitud']	['altitude', 'altitude', 'you', 'want', 'some', 'altitude']	altitud altitud you want some altitud	1
Am I okay ? Everybody's worried sick about you .	['am', 'i', 'okay', 'everybodi', 'worri', 'sick', 'about', 'you']	['am', 'i', 'okay', 'everybodys', 'worried', 'sick', 'about', 'you']	am i okay everybodi worri sick about you	1
Am I wrong , Lady ?	['am', 'i', 'wrong', 'ladi']	['am', 'i', 'wrong', 'lady']	am i wrong ladi	8, 1, 2
Amateur .	['amateur']	['amateur']	amateur	1, 3
An executive order ...	['an', 'execut', 'order']	['an', 'executive', 'order']	an execut order	1
An ... an accident ? Easy , [PERSON] , easy . Watch the rug .	['an', 'an', 'accid', 'easi', 'person', 'easi', 'watch', 'the', 'rug']	['an', 'an', 'accident', 'easy', 'person', 'easy', 'watch', 'the', 'rug']	an an accid easi person easi watch the rug	1, 4, 7
And actresses are treated like I hate to use the word , but , shit .	['and', 'actress', 'are', 'treat', 'like', 'i', 'hate', 'to', 'use', 'the', 'word', 'but', 'shit']	['and', 'actresses', 'are', 'treated', 'like', 'i', 'hate', 'to', 'use', 'the', 'word', 'but', 'shit']	and actress are treat like i hate to use the word but shit	1, 3, 4, 6
And all that crap .	['and', 'all', 'that', 'crap']	['and', 'all', 'that', 'crap']	and all that crap	1
And [PERSON] , she won't help me to solve them .	['and', 'person', 'she', 'wont', 'help', 'me', 'to', 'solv', 'them']	['and', 'person', 'she', 'wont', 'help', 'me', 'to', 'solve', 'them']	and person she wont help me to solv them	1
And don't bother sending a bill , either !	['and', 'dont', 'bother', 'send', 'a', 'bill', 'either']	['and', 'dont', 'bother', 'sending', 'a', 'bill', 'either']	and dont bother send a bill either	1
And don't mess with nobody's girlfriend .	['and', 'dont', 'mess', 'with', 'nobodi', 'girlfriend']	['and', 'dont', 'mess', 'with', 'nobodys', 'girlfriend']	and dont mess with nobodi girlfriend	8, 1
And don't try anything funny , cos you know what you'll get .	['and', 'dont', 'tri', 'anyth', 'funni', 'cos', 'you', 'know', 'what', 'youll', 'get']	['and', 'dont', 'try', 'anything', 'funny', 'cos', 'you', 'know', 'what', 'youll', 'get']	and dont tri anyth funni cos you know what youll get	1
And don't waste none of his time , because he ain't staying around long .	['and', 'dont', 'wast', 'none', 'of', 'his', 'time', 'becaus', 'he', 'aint', 'stay', 'around', 'long']	['and', 'dont', 'waste', 'none', 'of', 'his', 'time', 'because', 'he', 'aint', 'staying', 'around', 'long']	and dont wast none of his time becaus he aint stay around long	1
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?	['and', 'he', 'wade', 'in', 'there', 'with', 'a', 'lead', 'pipe', 'and', 'he', 'save', 'your', 'ass', 'and', 'now', 'your', 'go', 'to', 'deni', 'him', 'over', 'his', 'dead', 'bodi']	['and', 'he', 'waded', 'in', 'there', 'with', 'a', 'lead', 'pipe', 'and', 'he', 'saved', 'your', 'ass', 'and', 'now', 'youre', 'going', 'to', 'deny', 'him', 'over', 'his', 'dead', 'body']	and he wade in there with a lead pipe and he save your ass and now your go to deni him over his dead bodi	1
And how about translators ?	['and', 'how', 'about', 'translat']	['and', 'how', 'about', 'translators']	and how about translat	1
And how do you know that ?	['and', 'how', 'do', 'you', 'know', 'that']	['and', 'how', 'do', 'you', 'know', 'that']	and how do you know that	8, 1
And how is that different than all the times you risked me ?	['and', 'how', 'is', 'that', 'differ', 'than', 'all', 'the', 'time', 'you', 'risk', 'me']	['and', 'how', 'is', 'that', 'different', 'than', 'all', 'the', 'times', 'you', 'risked', 'me']	and how is that differ than all the time you risk me	1
And I ain't gonna repeat what he said .	['and', 'i', 'aint', 'gonna', 'repeat', 'what', 'he', 'said']	['and', 'i', 'aint', 'gonna', 'repeat', 'what', 'he', 'said']	and i aint gonna repeat what he said	1
And I can't get started .	['and', 'i', 'cant', 'get', 'start']	['and', 'i', 'cant', 'get', 'started']	and i cant get start	1
And I dangled it in front of him and ripped it away .	['and', 'i', 'dangl', 'it', 'in', 'front', 'of', 'him', 'and', 'rip', 'it', 'away']	['and', 'i', 'dangled', 'it', 'in', 'front', 'of', 'him', 'and', 'ripped', 'it', 'away']	and i dangl it in front of him and rip it away	1, 3, 7
And I don't care whether you go down with him or not .	['and', 'i', 'dont', 'care', 'whether', 'you', 'go', 'down', 'with', 'him', 'or', 'not']	['and', 'i', 'dont', 'care', 'whether', 'you', 'go', 'down', 'with', 'him', 'or', 'not']	and i dont care whether you go down with him or not	1
And I don't share my husband with anyone !	['and', 'i', 'dont', 'share', 'my', 'husband', 'with', 'anyon']	['and', 'i', 'dont', 'share', 'my', 'husband', 'with', 'anyone']	and i dont share my husband with anyon	1
And I fear no one , Especially an unholy spirit from an unsavory world .	['and', 'i', 'fear', 'no', 'one', 'especi', 'an', 'unholi', 'spirit', 'from', 'an', 'unsavori', 'world']	['and', 'i', 'fear', 'no', 'one', 'especially', 'an', 'unholy', 'spirit', 'from', 'an', 'unsavory', 'world']	and i fear no one especi an unholi spirit from an unsavori world	1, 2
And I hate the way you drive , and I hate your stinking whiskey breath .	['and', 'i', 'hate', 'the', 'way', 'you', 'drive', 'and', 'i', 'hate', 'your', 'stink', 'whiskey', 'breath']	['and', 'i', 'hate', 'the', 'way', 'you', 'drive', 'and', 'i', 'hate', 'your', 'stinking', 'whiskey', 'breath']	and i hate the way you drive and i hate your stink whiskey breath	1
And I hate these fucking doughnuts .	['and', 'i', 'hate', 'these', 'fuck', 'doughnut']	['and', 'i', 'hate', 'these', 'fucking', 'doughnuts']	and i hate these fuck doughnut	1, 3
And I stormed out .	['and', 'i', 'storm', 'out']	['and', 'i', 'stormed', 'out']	and i storm out	1
And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .	['and', 'i', 'want', 'a', 'list', 'of', 'everybodi', 'budget', 'research', 'account', 'and', 'financi', 'on', 'my', 'desk', 'by', 'tomorrow']	['and', 'i', 'want', 'a', 'list', 'of', 'everybodys', 'budgets', 'research', 'accounts', 'and', 'financials', 'on', 'my', 'desk', 'by', 'tomorrow']	and i want a list of everybodi budget research account and financi on my desk by tomorrow	1
And I want [PERSON] and [PERSON] ... dead !	['and', 'i', 'want', 'person', 'and', 'person', 'dead']	['and', 'i', 'want', 'person', 'and', 'person', 'dead']	and i want person and person dead	1
And I'll have every gunboat in the Navy hunting ' ole Nemo .	['and', 'ill', 'have', 'everi', 'gunboat', 'in', 'the', 'navi', 'hunt', 'ole', 'nemo']	['and', 'ill', 'have', 'every', 'gunboat', 'in', 'the', 'navy', 'hunting', 'ole', 'nemo']	and ill have everi gunboat in the navi hunt ole nemo	1, 2
And I'll see you in court in three weeks .	['and', 'ill', 'see', 'you', 'in', 'court', 'in', 'three', 'week']	['and', 'ill', 'see', 'you', 'in', 'court', 'in', 'three', 'weeks']	and ill see you in court in three week	1
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?	['and', 'im', 'be', 'ask', 'to', 'brief', 'the', 'cia', 'director', 'on', 'stuff', 'becaus', 'he', 'and', 'the', 'presid', 'are', 'be', 'lie', 'to']	['and', 'im', 'being', 'asked', 'to', 'brief', 'the', 'cia', 'director', 'on', 'stuff', 'because', 'he', 'and', 'the', 'president', 'are', 'being', 'lied', 'to']	and im be ask to brief the cia director on stuff becaus he and the presid are be lie to	1, 7
And I'm warning you .	['and', 'im', 'warn', 'you']	['and', 'im', 'warning', 'you']	and im warn you	1
And if I refuse to sign it ?	['and', 'if', 'i', 'refus', 'to', 'sign', 'it']	['and', 'if', 'i', 'refuse', 'to', 'sign', 'it']	and if i refus to sign it	1
And if there was , I sure as hell wouldn't tell you , colonel .	['and', 'if', 'there', 'was', 'i', 'sure', 'as', 'hell', 'wouldnt', 'tell', 'you', 'colonel']	['and', 'if', 'there', 'was', 'i', 'sure', 'as', 'hell', 'wouldnt', 'tell', 'you', 'colonel']	and if there was i sure as hell wouldnt tell you colonel	1
And if they try to , they'll find you dead .	['and', 'if', 'they', 'tri', 'to', 'theyll', 'find', 'you', 'dead']	['and', 'if', 'they', 'try', 'to', 'theyll', 'find', 'you', 'dead']	and if they tri to theyll find you dead	1
And if we could find it , it wouldn't have a tear .	['and', 'if', 'we', 'could', 'find', 'it', 'it', 'wouldnt', 'have', 'a', 'tear']	['and', 'if', 'we', 'could', 'find', 'it', 'it', 'wouldnt', 'have', 'a', 'tear']	and if we could find it it wouldnt have a tear	1
And if you don't take me to my hotel , that means I have to walk .	['and', 'if', 'you', 'dont', 'take', 'me', 'to', 'my', 'hotel', 'that', 'mean', 'i', 'have', 'to', 'walk']	['and', 'if', 'you', 'dont', 'take', 'me', 'to', 'my', 'hotel', 'that', 'means', 'i', 'have', 'to', 'walk']	and if you dont take me to my hotel that mean i have to walk	1, 6
And it changes because the people at the top forget how they got there .	['and', 'it', 'chang', 'becaus', 'the', 'peopl', 'at', 'the', 'top', 'forget', 'how', 'they', 'got', 'there']	['and', 'it', 'changes', 'because', 'the', 'people', 'at', 'the', 'top', 'forget', 'how', 'they', 'got', 'there']	and it chang becaus the peopl at the top forget how they got there	1, 3
And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...	['and', 'it', 'is', 'time', 'that', 'the', 'locat', 'govern', 'start', 'come', 'clean', 'on', 'what', 'it', 'all', 'about', 'becaus', 'theyr', 'veri', 'import', 'militari', 'and']	['and', 'it', 'is', 'time', 'that', 'the', 'location', 'government', 'started', 'coming', 'clean', 'on', 'what', 'its', 'all', 'about', 'because', 'theyre', 'very', 'important', 'military', 'and']	and it is time that the locat govern start come clean on what it all about becaus theyr veri import militari and	1
And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .	['and', 'it', 'about', 'you', 'and', 'it', 'about', 'person', 'and', 'it', 'about', 'the', 'drink', 'and', 'it', 'about', 'all', 'of', 'it']	['and', 'its', 'about', 'you', 'and', 'its', 'about', 'person', 'and', 'its', 'about', 'the', 'drinking', 'and', 'its', 'about', 'all', 'of', 'it']	and it about you and it about person and it about the drink and it about all of it	1
And just what do you want me to do ?	['and', 'just', 'what', 'do', 'you', 'want', 'me', 'to', 'do']	['and', 'just', 'what', 'do', 'you', 'want', 'me', 'to', 'do']	and just what do you want me to do	1
And let me remind you , we lost two key PA's in one day .	['and', 'let', 'me', 'remind', 'you', 'we', 'lost', 'two', 'key', 'pas', 'in', 'one', 'day']	['and', 'let', 'me', 'remind', 'you', 'we', 'lost', 'two', 'key', 'pas', 'in', 'one', 'day']	and let me remind you we lost two key pas in one day	1
And now they've lost it .	['and', 'now', 'theyv', 'lost', 'it']	['and', 'now', 'theyve', 'lost', 'it']	and now theyv lost it	1, 5, 6
And now this ?	['and', 'now', 'this']	['and', 'now', 'this']	and now this	1
And one other thing :	['and', 'one', 'other', 'thing']	['and', 'one', 'other', 'thing']	and one other thing	1, 2
And runnin' late as usual .	['and', 'runnin', 'late', 'as', 'usual']	['and', 'runnin', 'late', 'as', 'usual']	and runnin late as usual	1
And see that you get out of town .	['and', 'see', 'that', 'you', 'get', 'out', 'of', 'town']	['and', 'see', 'that', 'you', 'get', 'out', 'of', 'town']	and see that you get out of town	1
And so will you .	['and', 'so', 'will', 'you']	['and', 'so', 'will', 'you']	and so will you	1, 2
And stop fidgeting .	['and', 'stop', 'fidget']	['and', 'stop', 'fidgeting']	and stop fidget	1
And that they wouldn't hold Backpage responsible was very disturbing to me .	['and', 'that', 'they', 'wouldnt', 'hold', 'backpag', 'respons', 'was', 'veri', 'disturb', 'to', 'me']	['and', 'that', 'they', 'wouldnt', 'hold', 'backpage', 'responsible', 'was', 'very', 'disturbing', 'to', 'me']	and that they wouldnt hold backpag respons was veri disturb to me	1
And that's my mother ... running away .	['and', 'that', 'my', 'mother', 'run', 'away']	['and', 'thats', 'my', 'mother', 'running', 'away']	and that my mother run away	1, 3, 6
And that's why I don't wan na talk about it if I don't have to .	['and', 'that', 'whi', 'i', 'dont', 'wan', 'na', 'talk', 'about', 'it', 'if', 'i', 'dont', 'have', 'to']	['and', 'thats', 'why', 'i', 'dont', 'wan', 'na', 'talk', 'about', 'it', 'if', 'i', 'dont', 'have', 'to']	and that whi i dont wan na talk about it if i dont have to	1
