text	tokenized	preprocessed	label
Because we've lived through it .	['weve', 'lived']	weve lived	1, 5
After all she done ?	['done']	done	6, 7
Sure .	['sure']	sure	8, 5
Because we belong together .	['belong', 'together']	belong together	8, 2
Better you than your mother .	['better', 'mother']	better mother	3
That's a twist . - Oh , a fruit twist ?	['thats', 'twist', 'oh', 'fruit', 'twist']	thats twist oh fruit twist	7
Arguing's pretty much in my blood .	['arguings', 'pretty', 'much', 'blood']	arguings pretty much blood	6
Look , is there someplace that we could go and talk ?	['look', 'someplace', 'could', 'go', 'talk']	look someplace could go talk	8
You and [PERSON] are a couple of sluts .	['person', 'couple', 'sluts']	person couple sluts	3
Is not it so ?	[]		3
I cast thee back to hell !	['cast', 'thee', 'back', 'hell']	cast thee back hell	1
Now , by my watch , does not mean in the morning , but : .	['watch', 'mean', 'morning']	watch mean morning	1, 3
Uncle [PERSON] ?	['uncle', 'person']	uncle person	7
Keep your voice down !	['keep', 'voice']	keep voice	1
This is my first night being a dad .	['first', 'night', 'dad']	first night dad	2, 4, 5
I don't want to be sent into that foreign atmosphere again .	['dont', 'want', 'sent', 'foreign', 'atmosphere']	dont want sent foreign atmosphere	4
Escape is impossible .	['escape', 'impossible']	escape impossible	4
That was lovely .	['lovely']	lovely	5
You'll never deceive the people again !	['youll', 'never', 'deceive', 'people']	youll never deceive people	1
let's drink to , uh , making new friends .	['lets', 'drink', 'uh', 'making', 'new', 'friends']	lets drink uh making new friends	8
The man ends up looking like his heart attacked him .	['man', 'ends', 'looking', 'like', 'heart', 'attacked']	man ends looking like heart attacked	6
You're staying here till the real law comes .	['youre', 'staying', 'till', 'real', 'law', 'comes']	youre staying till real law comes	1
But I promise you that it will be the biggest innovation in the history of this business .	['promise', 'biggest', 'innovation', 'history', 'business']	promise biggest innovation history business	2
Background , [PERSON] . Tell me about it .	['background', 'person', 'tell']	background person tell	8, 2
Your Majesty , being inside of your confidence ... is the greatest joy I've ever known .	['majesty', 'inside', 'confidence', 'greatest', 'joy', 'ive', 'ever', 'known']	majesty inside confidence greatest joy ive ever known	5
Come say hello to [PERSON] . Have you met ?	['come', 'say', 'hello', 'person', 'met']	come say hello person met	2
Why do you wear that rug ?	['wear', 'rug']	wear rug	3
That's not true .	['thats', 'true']	thats true	1, 4
Anyway the orders promoting him to Detective , First Grade , have already been cut .	['anyway', 'orders', 'promoting', 'detective', 'first', 'grade', 'already', 'cut']	anyway orders promoting detective first grade already cut	6
Well , too much TV is bad for my ears .	['well', 'much', 'tv', 'bad', 'ears']	well much tv bad ears	1, 3, 6
All right . Set up a meeting . I'll hear them all out .	['right', 'set', 'meeting', 'ill', 'hear']	right set meeting ill hear	2
I'm the first to go .	['im', 'first', 'go']	im first go	1
I didn't see him again for five years .	['didnt', 'see', 'five', 'years']	didnt see five years	6
Oh , just things that little girls dream about .	['oh', 'things', 'little', 'girls', 'dream']	oh things little girls dream	3, 6, 7
[PERSON] , please . Help .	['person', 'please', 'help']	person please help	8, 4
He hates everybody .	['hates', 'everybody']	hates everybody	1, 3
[PERSON] ! Murderer !	['person', 'murderer']	person murderer	4, 7
Yeah , she's wonderful .	['yeah', 'shes', 'wonderful']	yeah shes wonderful	5
I've had a very trying evening .	['ive', 'trying', 'evening']	ive trying evening	6
Just one ?	['one']	one	7
And that we have an uncorrupted scientific establishment , which we do not and which we will prove .	['uncorrupted', 'scientific', 'establishment', 'prove']	uncorrupted scientific establishment prove	6, 7
He never wanted me .	['never', 'wanted']	never wanted	6
Um , really good to see you , ma'am .	['um', 'really', 'good', 'see', 'maam']	um really good see maam	4
Listen , I know why you've come .	['listen', 'know', 'youve', 'come']	listen know youve come	2, 4
Get up !	['get']	get	1
The idiot had his TV turned up , and I didn't --	['idiot', 'tv', 'turned', 'didnt']	idiot tv turned didnt	1, 3
[PERSON]'s tapes encrypted , bounced by satellite to [LOCATION] , then decrypted - all in minutes .	['persons', 'tapes', 'encrypted', 'bounced', 'satellite', 'location', 'decrypted', 'minutes']	persons tapes encrypted bounced satellite location decrypted minutes	8, 7
It's a shame to waste all that prime beef on a guy serving three to five in prison .	['shame', 'waste', 'prime', 'beef', 'guy', 'serving', 'three', 'five', 'prison']	shame waste prime beef guy serving three five prison	3
We've lost our picture .	['weve', 'lost', 'picture']	weve lost picture	6
I never thought I'd find myself in that crowd .	['never', 'thought', 'id', 'find', 'crowd']	never thought id find crowd	6
One more scratch on it and your career in the Navy is ended .	['one', 'scratch', 'career', 'navy', 'ended']	one scratch career navy ended	1, 2, 3
Come on . Stop complaining .	['come', 'stop', 'complaining']	come stop complaining	1
All right , what is it if I may ask , You do want to do ?	['right', 'may', 'ask', 'want']	right may ask want	1
Now what makes you think I hate her ?	['makes', 'think', 'hate']	makes think hate	7
That people would go and do that !	['people', 'would', 'go']	people would go	1, 3
The next day I call [PERSON] .	['next', 'day', 'call', 'person']	next day call person	2
Oh my God ! You totally should .	['oh', 'god', 'totally']	oh god totally	5
It's wasted on this bunch of Swiss bankers .	['wasted', 'bunch', 'swiss', 'bankers']	wasted bunch swiss bankers	3
It may be the only way to unite us in this incredibly divided world of ours .	['may', 'way', 'unite', 'us', 'incredibly', 'divided', 'world']	may way unite us incredibly divided world	2, 5
I'm sorry , ma'am , but you're needed in the Situation Room .	['im', 'sorry', 'maam', 'youre', 'needed', 'situation', 'room']	im sorry maam youre needed situation room	7
I might not get you back this time .	['might', 'get', 'back', 'time']	might get back time	6
That was my low .	['low']	low	6
Is it unfair ?	['unfair']	unfair	1
You intend to take it yourself ?	['intend', 'take']	intend take	7
I can't start the car .	['cant', 'start', 'car']	cant start car	6, 7
I don't care if you fire me this exact fucking moment .	['dont', 'care', 'fire', 'exact', 'fucking', 'moment']	dont care fire exact fucking moment	1
Most of their wounds won't heal properly .	['wounds', 'wont', 'heal', 'properly']	wounds wont heal properly	4
Press down on her !	['press']	press	1
Why didn't you tell me ?	['didnt', 'tell']	didnt tell	6, 7
You want to know the ... What do you call it ? Motivation ?	['want', 'know', 'call', 'motivation']	want know call motivation	2
Look , I don't mind if you have a new dog but you can't let him run aroud scaring half the neighbourhood .	['look', 'dont', 'mind', 'new', 'dog', 'cant', 'let', 'run', 'aroud', 'scaring', 'half', 'neighbourhood']	look dont mind new dog cant let run aroud scaring half neighbourhood	3
Don't move !	['dont', 'move']	dont move	1, 2, 4, 7
And people do the strangest things , too .	['people', 'strangest', 'things']	people strangest things	7
Come , my child .	['come', 'child']	come child	8
They hold together and bring me bad luck .	['hold', 'together', 'bring', 'bad', 'luck']	hold together bring bad luck	6
The usual , sir ?	['usual', 'sir']	usual sir	8, 5
You've put us all in danger for your love of this woman .	['youve', 'put', 'us', 'danger', 'love', 'woman']	youve put us danger love woman	1
My grandparents were killed in the war .	['grandparents', 'killed', 'war']	grandparents killed war	6
Come on , it's Christmas .	['come', 'christmas']	come christmas	1, 2, 5, 6
And you were right there !	['right']	right	7
She wants to talk to me ?	['wants', 'talk']	wants talk	7
There's some action at a place in [LOCATION] .	['theres', 'action', 'place', 'location']	theres action place location	2
You got a minute , man ?	['got', 'minute', 'man']	got minute man	2
Um ... I'm always getting myself into these kinds of things .	['um', 'im', 'always', 'getting', 'kinds', 'things']	um im always getting kinds things	7
I know you're crazy about me .	['know', 'youre', 'crazy']	know youre crazy	5
Is it , perhaps , that this cause is too hopeless ?	['perhaps', 'cause', 'hopeless']	perhaps cause hopeless	4
I'm not on the pills so we use rubbers , so it's hurting .	['im', 'pills', 'use', 'rubbers', 'hurting']	im pills use rubbers hurting	8, 1, 4, 6
Sweet musical [PERSON] , that's your friend ?	['sweet', 'musical', 'person', 'thats', 'friend']	sweet musical person thats friend	1
Fantastic .	['fantastic']	fantastic	5
What is ...	[]		2, 4, 7
Heavens ' name !	['heavens', 'name']	heavens name	7
[PERSON] , fuck off !	['person', 'fuck']	person fuck	1
They must have wonderful materials to make a thing like this .	['must', 'wonderful', 'materials', 'make', 'thing', 'like']	must wonderful materials make thing like	5
I mean , [PERSON] would always stick a matchbook under one leg to remind me that I'd measured wrong , but she never got rid of it .	['mean', 'person', 'would', 'always', 'stick', 'matchbook', 'one', 'leg', 'remind', 'id', 'measured', 'wrong', 'never', 'got', 'rid']	mean person would always stick matchbook one leg remind id measured wrong never got rid	1, 5
No time to be shy , ladies .	['time', 'shy', 'ladies']	time shy ladies	2
Won it in a stud game .	['stud', 'game']	stud game	5
NOW !	[]		1
An honorary stooge like me against the Taylors and Paines , the machines and the lies .	['honorary', 'stooge', 'like', 'taylors', 'paines', 'machines', 'lies']	honorary stooge like taylors paines machines lies	3
It's too late to start anything now .	['late', 'start', 'anything']	late start anything	4
I'm a sick man .	['im', 'sick', 'man']	im sick man	6
You can do it !	[]		8, 5
We know from our fancy telescopes that just in the last years , more than planets have been identified outside our solar system that seem to be far enough from their suns and dense enough that they might be able to support	['know', 'fancy', 'telescopes', 'last', 'years', 'planets', 'identified', 'outside', 'solar', 'system', 'seem', 'far', 'enough', 'suns', 'dense', 'enough', 'might', 'able', 'support']	know fancy telescopes last years planets identified outside solar system seem far enough suns dense enough might able support	8, 2, 7
Who is there ?	[]		4
And do remember me kindly to your charming wife .	['remember', 'kindly', 'charming', 'wife']	remember kindly charming wife	8
You're in enough trouble as it is .	['youre', 'enough', 'trouble']	youre enough trouble	4
Don't kick me , I won't shut up .	['dont', 'kick', 'wont', 'shut']	dont kick wont shut	1
I just spoke to [PERSON] .	['spoke', 'person']	spoke person	5
I have wonderful news for you .	['wonderful', 'news']	wonderful news	5
Gee whiz , so many things happening all at once .	['gee', 'whiz', 'many', 'things', 'happening']	gee whiz many things happening	4
I don't want any of that slop .	['dont', 'want', 'slop']	dont want slop	3
got a strong back . And a strong desire to escape .	['got', 'strong', 'back', 'strong', 'desire', 'escape']	got strong back strong desire escape	8, 2
Come on , honey .	['come', 'honey']	come honey	1
What you fail to understand ... is the power of hate .	['fail', 'understand', 'power', 'hate']	fail understand power hate	1, 2
He swears he has no idea where [PERSON] is , but his phone records tell a different story .	['swears', 'idea', 'person', 'phone', 'records', 'tell', 'different', 'story']	swears idea person phone records tell different story	3
You put asses into seats .	['put', 'asses', 'seats']	put asses seats	1
Don't be nervous .	['dont', 'nervous']	dont nervous	8
You can't go !	['cant', 'go']	cant go	1
I'm ready .	['im', 'ready']	im ready	2
I suppose like the fathead you are , you told Father all your little hopes and dreams ?	['suppose', 'like', 'fathead', 'told', 'father', 'little', 'hopes', 'dreams']	suppose like fathead told father little hopes dreams	3
I ain't giving you shit . I said I'd play you even , I play you even .	['aint', 'giving', 'shit', 'said', 'id', 'play', 'even', 'play', 'even']	aint giving shit said id play even play even	1
Don't go to him in anger . Go and warn him .	['dont', 'go', 'anger', 'go', 'warn']	dont go anger go warn	2
I'm sure you'll be happy with [PERSON] .	['im', 'sure', 'youll', 'happy', 'person']	im sure youll happy person	2
No , but he's not feeling well .	['hes', 'feeling', 'well']	hes feeling well	6
I'm getting off at the next stop . That's impossible .	['im', 'getting', 'next', 'stop', 'thats', 'impossible']	im getting next stop thats impossible	2
He's been recorded saying ...	['hes', 'recorded', 'saying']	hes recorded saying	2
You'll need more than just two of us .	['youll', 'need', 'two', 'us']	youll need two us	8, 1
This is a bullshit case .	['bullshit', 'case']	bullshit case	1
There's a lot of things she could ask me but she won't say one darn word .	['theres', 'lot', 'things', 'could', 'ask', 'wont', 'say', 'one', 'darn', 'word']	theres lot things could ask wont say one darn word	1
Maybe we've forgotten how to hope .	['maybe', 'weve', 'forgotten', 'hope']	maybe weve forgotten hope	6
By stepping on a bottle and breaking the heel of my shoe !	['stepping', 'bottle', 'breaking', 'heel', 'shoe']	stepping bottle breaking heel shoe	1
Hello , sweetheart !	['hello', 'sweetheart']	hello sweetheart	5
Would you like to go out to grab a burger and then go to the movies or something ?	['would', 'like', 'go', 'grab', 'burger', 'go', 'movies', 'something']	would like go grab burger go movies something	2
Don't try and tell me the runway's too short .	['dont', 'try', 'tell', 'runways', 'short']	dont try tell runways short	1
I hate to do this , but I think we better get him to a hospital .	['hate', 'think', 'better', 'get', 'hospital']	hate think better get hospital	4
Shall we , eh , have a look at again ?	['shall', 'eh', 'look']	shall eh look	2
The agricultural use is one of the exceptions , fortunately .	['agricultural', 'use', 'one', 'exceptions', 'fortunately']	agricultural use one exceptions fortunately	5
Look . I've been kicking ass and taking names , trying to save your fucking hide .	['look', 'ive', 'kicking', 'ass', 'taking', 'names', 'trying', 'save', 'fucking', 'hide']	look ive kicking ass taking names trying save fucking hide	1
He is my friend .	['friend']	friend	5
[PERSON] , you want a laugh ?	['person', 'want', 'laugh']	person want laugh	5
I have to warn the Soviets in the clearest possible terms that they risk taking us to the brink of an armed confrontation with incalculable consequences for all mankind .	['warn', 'soviets', 'clearest', 'possible', 'terms', 'risk', 'taking', 'us', 'brink', 'armed', 'confrontation', 'incalculable', 'consequences', 'mankind']	warn soviets clearest possible terms risk taking us brink armed confrontation incalculable consequences mankind	4
Nobody knows anything about what's happening here .	['nobody', 'knows', 'anything', 'whats', 'happening']	nobody knows anything whats happening	7
What is this guy , nice or something ?	['guy', 'nice', 'something']	guy nice something	3
Weren't you , in fact , intimate with the lady ?	['werent', 'fact', 'intimate', 'lady']	werent fact intimate lady	1, 6
Carlo would love to say hello !	['carlo', 'would', 'love', 'say', 'hello']	carlo would love say hello	2
It is of no concern to me	['concern']	concern	3
I'm not resigning my senior partnership the day after what happened , happened , if that's what you're asking .	['im', 'resigning', 'senior', 'partnership', 'day', 'happened', 'happened', 'thats', 'youre', 'asking']	im resigning senior partnership day happened happened thats youre asking	2
And it's like she wants to be my mentor , which is exactly what I needed .	['like', 'wants', 'mentor', 'exactly', 'needed']	like wants mentor exactly needed	8
Um , should I wait for you ? No , no .	['um', 'wait']	um wait	7
I like it !	['like']	like	5
[PERSON] , I'm gonna kill you , you murdering son of a bitch !	['person', 'im', 'gonna', 'kill', 'murdering', 'son', 'bitch']	person im gonna kill murdering son bitch	3
Copycat !	['copycat']	copycat	1
You bloody liar !	['bloody', 'liar']	bloody liar	1
His skin . Like a bone or a tendon .	['skin', 'like', 'bone', 'tendon']	skin like bone tendon	3
We can do better than that .	['better']	better	1
It couldn't have been me , sir .	['couldnt', 'sir']	couldnt sir	4
This must be difficult , your life changing so drastically .	['must', 'difficult', 'life', 'changing', 'drastically']	must difficult life changing drastically	6
Look at that !	['look']	look	5
I don't want to hear another word .	['dont', 'want', 'hear', 'another', 'word']	dont want hear another word	1
We're here to have fun .	['fun']	fun	2
A drink comes in pretty handy sometimes .	['drink', 'comes', 'pretty', 'handy', 'sometimes']	drink comes pretty handy sometimes	5
If you need me , just pull this .	['need', 'pull']	need pull	8
It means you become their slave hours a day seven days a week .	['means', 'become', 'slave', 'hours', 'day', 'seven', 'days', 'week']	means become slave hours day seven days week	1, 3
[PERSON]'s gonna kill me , [PERSON] .	['persons', 'gonna', 'kill', 'person']	persons gonna kill person	4
You have to focus on the road .	['focus', 'road']	focus road	8, 5
