text	tokenized	preprocessed	label	1gram	2gram	3gram
Wait till my mates get you .	['wait', 'till', 'mates', 'get']	wait till mates get	4	['wait', 'till', 'mates', 'get']	['wait till', 'till mates', 'mates get']	['wait till mates', 'till mates get']
Like [PERSON] lost control ?	['like', 'person', 'lost', 'control']	like person lost control	7	['like', 'person', 'lost', 'control']	['like person', 'person lost', 'lost control']	['like person lost', 'person lost control']
That's a good touch . Have the kid leave .  	['thats', 'good', 'touch', 'kid', 'leave']	thats good touch kid leave	5	['thats', 'good', 'touch', 'kid', 'leave']	['thats good', 'good touch', 'touch kid', 'kid leave']	['thats good touch', 'good touch kid', 'touch kid leave']
Are you telling me not to worry but free the lab when you work everything out ?	['telling', 'worry', 'free', 'lab', 'work', 'everything']	telling worry free lab work everything	1	['telling', 'worry', 'free', 'lab', 'work', 'everything']	['telling worry', 'worry free', 'free lab', 'lab work', 'work everything']	['telling worry free', 'worry free lab', 'free lab work', 'lab work everything']
How did you know my name ?	['know', 'name']	know name	7	['know', 'name']	['know name']	[]
This bloody sod accused me of stealing me mate's grub .	['bloody', 'sod', 'accused', 'stealing', 'mates', 'grub']	bloody sod accused stealing mates grub	1	['bloody', 'sod', 'accused', 'stealing', 'mates', 'grub']	['bloody sod', 'sod accused', 'accused stealing', 'stealing mates', 'mates grub']	['bloody sod accused', 'sod accused stealing', 'accused stealing mates', 'stealing mates grub']
They have no husbands and they cry .	['husbands', 'cry']	husbands cry	6	['husbands', 'cry']	['husbands cry']	[]
You expect us to stand all the way ?	['expect', 'us', 'stand', 'way']	expect us stand way	1	['expect', 'us', 'stand', 'way']	['expect us', 'us stand', 'stand way']	['expect us stand', 'us stand way']
There's gas coming out of the wing .	['theres', 'gas', 'coming', 'wing']	theres gas coming wing	4	['theres', 'gas', 'coming', 'wing']	['theres gas', 'gas coming', 'coming wing']	['theres gas coming', 'gas coming wing']
He didn't know ...	['didnt', 'know']	didnt know	6	['didnt', 'know']	['didnt know']	[]
He's after me .	['hes']	hes	4, 6	['hes']	[]	[]
Yes . Take care now .	['yes', 'take', 'care']	yes take care	8, 2	['yes', 'take', 'care']	['yes take', 'take care']	['yes take care']
I do not count , only King account .	['count', 'king', 'account']	count king account	2	['count', 'king', 'account']	['count king', 'king account']	['count king account']
He's mine !	['hes', 'mine']	hes mine	5	['hes', 'mine']	['hes mine']	[]
Hey , I'm sorry about upstairs but I do see your pretty face and I just had to kiss it .	['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']	hey im sorry upstairs see pretty face kiss	4	['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']	['hey im', 'im sorry', 'sorry upstairs', 'upstairs see', 'see pretty', 'pretty face', 'face kiss']	['hey im sorry', 'im sorry upstairs', 'sorry upstairs see', 'upstairs see pretty', 'see pretty face', 'pretty face kiss']
Now , let's get back to our examination . Shall we ?	['lets', 'get', 'back', 'examination', 'shall']	lets get back examination shall	1	['lets', 'get', 'back', 'examination', 'shall']	['lets get', 'get back', 'back examination', 'examination shall']	['lets get back', 'get back examination', 'back examination shall']
Careful , brother .	['careful', 'brother']	careful brother	4	['careful', 'brother']	['careful brother']	[]
If it's more important than golf , go ahead .	['important', 'golf', 'go', 'ahead']	important golf go ahead	2	['important', 'golf', 'go', 'ahead']	['important golf', 'golf go', 'go ahead']	['important golf go', 'golf go ahead']
It's very pretty .	['pretty']	pretty	5	['pretty']	[]	[]
Looking forward to it , I might say .	['looking', 'forward', 'might', 'say']	looking forward might say	2	['looking', 'forward', 'might', 'say']	['looking forward', 'forward might', 'might say']	['looking forward might', 'forward might say']
This girl's been in an accident , [PERSON] .	['girls', 'accident', 'person']	girls accident person	4	['girls', 'accident', 'person']	['girls accident', 'accident person']	['girls accident person']
She knows , wanted , of certainty that this cushion is wet .	['knows', 'wanted', 'certainty', 'cushion', 'wet']	knows wanted certainty cushion wet	8	['knows', 'wanted', 'certainty', 'cushion', 'wet']	['knows wanted', 'wanted certainty', 'certainty cushion', 'cushion wet']	['knows wanted certainty', 'wanted certainty cushion', 'certainty cushion wet']
You made the spell and you can undo it !	['made', 'spell', 'undo']	made spell undo	1	['made', 'spell', 'undo']	['made spell', 'spell undo']	['made spell undo']
It seems there's no formal contract between you and [LOCATION] .	['seems', 'theres', 'formal', 'contract', 'location']	seems theres formal contract location	6	['seems', 'theres', 'formal', 'contract', 'location']	['seems theres', 'theres formal', 'formal contract', 'contract location']	['seems theres formal', 'theres formal contract', 'formal contract location']
When I'm and you're still the way you are ?	['im', 'youre', 'still', 'way']	im youre still way	3	['im', 'youre', 'still', 'way']	['im youre', 'youre still', 'still way']	['im youre still', 'youre still way']
He objects , she sustains , every time . The old flame's still burning , huh ?	['objects', 'sustains', 'every', 'time', 'old', 'flames', 'still', 'burning', 'huh']	objects sustains every time old flames still burning huh	7	['objects', 'sustains', 'every', 'time', 'old', 'flames', 'still', 'burning', 'huh']	['objects sustains', 'sustains every', 'every time', 'time old', 'old flames', 'flames still', 'still burning', 'burning huh']	['objects sustains every', 'sustains every time', 'every time old', 'time old flames', 'old flames still', 'flames still burning', 'still burning huh']
I'm relaxed .	['im', 'relaxed']	im relaxed	5	['im', 'relaxed']	['im relaxed']	[]
[PERSON] says very nice things about you in her letters .	['person', 'says', 'nice', 'things', 'letters']	person says nice things letters	5	['person', 'says', 'nice', 'things', 'letters']	['person says', 'says nice', 'nice things', 'things letters']	['person says nice', 'says nice things', 'nice things letters']
♪ Got a whale of a tale to tell you , boys ♪	['', 'got', 'whale', 'tale', 'tell', 'boys', '']	 got whale tale tell boys 	2, 5	['', 'got', 'whale', 'tale', 'tell', 'boys', '']	[' got', 'got whale', 'whale tale', 'tale tell', 'tell boys', 'boys ']	[' got whale', 'got whale tale', 'whale tale tell', 'tale tell boys', 'tell boys ']
Why were his fingerprints all over that goddamn glass ?	['fingerprints', 'goddamn', 'glass']	fingerprints goddamn glass	1, 3	['fingerprints', 'goddamn', 'glass']	['fingerprints goddamn', 'goddamn glass']	['fingerprints goddamn glass']
Dear Mr. [PERSON] .   This is about a deputy prosecuting attorney who is taking bribes .  	['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribes']	dear mr person deputy prosecuting attorney taking bribes	6, 7	['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribes']	['dear mr', 'mr person', 'person deputy', 'deputy prosecuting', 'prosecuting attorney', 'attorney taking', 'taking bribes']	['dear mr person', 'mr person deputy', 'person deputy prosecuting', 'deputy prosecuting attorney', 'prosecuting attorney taking', 'attorney taking bribes']
I'll take care of him .	['ill', 'take', 'care']	ill take care	8, 5	['ill', 'take', 'care']	['ill take', 'take care']	['ill take care']
He takes good care of that .	['takes', 'good', 'care']	takes good care	8	['takes', 'good', 'care']	['takes good', 'good care']	['takes good care']
Let the boy come in , [PERSON] .	['let', 'boy', 'come', 'person']	let boy come person	8	['let', 'boy', 'come', 'person']	['let boy', 'boy come', 'come person']	['let boy come', 'boy come person']
I know old [PERSON] .	['know', 'old', 'person']	know old person	8	['know', 'old', 'person']	['know old', 'old person']	['know old person']
What a charming idea for [LOCATION] to surprise us with a lady comrade .	['charming', 'idea', 'location', 'surprise', 'us', 'lady', 'comrade']	charming idea location surprise us lady comrade	7	['charming', 'idea', 'location', 'surprise', 'us', 'lady', 'comrade']	['charming idea', 'idea location', 'location surprise', 'surprise us', 'us lady', 'lady comrade']	['charming idea location', 'idea location surprise', 'location surprise us', 'surprise us lady', 'us lady comrade']
You're passing up the whitest man on earth for a dirty , no - good ...	['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']	youre passing whitest man earth dirty good	3	['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']	['youre passing', 'passing whitest', 'whitest man', 'man earth', 'earth dirty', 'dirty good']	['youre passing whitest', 'passing whitest man', 'whitest man earth', 'man earth dirty', 'earth dirty good']
You look tired , Little Big Man .	['look', 'tired', 'little', 'big', 'man']	look tired little big man	6	['look', 'tired', 'little', 'big', 'man']	['look tired', 'tired little', 'little big', 'big man']	['look tired little', 'tired little big', 'little big man']
Something funny happened this morning at the store .	['something', 'funny', 'happened', 'morning', 'store']	something funny happened morning store	5	['something', 'funny', 'happened', 'morning', 'store']	['something funny', 'funny happened', 'happened morning', 'morning store']	['something funny happened', 'funny happened morning', 'happened morning store']
Shall I open a vein and sign it in blood ?	['shall', 'open', 'vein', 'sign', 'blood']	shall open vein sign blood	3	['shall', 'open', 'vein', 'sign', 'blood']	['shall open', 'open vein', 'vein sign', 'sign blood']	['shall open vein', 'open vein sign', 'vein sign blood']
Want to take a look ?	['want', 'take', 'look']	want take look	8	['want', 'take', 'look']	['want take', 'take look']	['want take look']
She's won and I've lost .	['shes', 'ive', 'lost']	shes ive lost	6	['shes', 'ive', 'lost']	['shes ive', 'ive lost']	['shes ive lost']
I'm a little bit frightened .	['im', 'little', 'bit', 'frightened']	im little bit frightened	4	['im', 'little', 'bit', 'frightened']	['im little', 'little bit', 'bit frightened']	['im little bit', 'little bit frightened']
You're still in love with her .	['youre', 'still', 'love']	youre still love	8	['youre', 'still', 'love']	['youre still', 'still love']	['youre still love']
Left !	['left']	left	1	['left']	[]	[]
What the hell are you trying to do to me ?	['hell', 'trying']	hell trying	1	['hell', 'trying']	['hell trying']	[]
I'd like to see Nurse Lt. [PERSON] .	['id', 'like', 'see', 'nurse', 'lt', 'person']	id like see nurse lt person	2	['id', 'like', 'see', 'nurse', 'lt', 'person']	['id like', 'like see', 'see nurse', 'nurse lt', 'lt person']	['id like see', 'like see nurse', 'see nurse lt', 'nurse lt person']
For you to become a murderer ?	['become', 'murderer']	become murderer	3, 6, 7	['become', 'murderer']	['become murderer']	[]
It's all I've got left .	['ive', 'got', 'left']	ive got left	6	['ive', 'got', 'left']	['ive got', 'got left']	['ive got left']
They'd never approve of that being released .	['theyd', 'never', 'approve', 'released']	theyd never approve released	4	['theyd', 'never', 'approve', 'released']	['theyd never', 'never approve', 'approve released']	['theyd never approve', 'never approve released']
And you know what ? They offered us a job .	['know', 'offered', 'us', 'job']	know offered us job	7	['know', 'offered', 'us', 'job']	['know offered', 'offered us', 'us job']	['know offered us', 'offered us job']
I can't wait . Heh heh .	['cant', 'wait', 'heh', 'heh']	cant wait heh heh	2, 5	['cant', 'wait', 'heh', 'heh']	['cant wait', 'wait heh', 'heh heh']	['cant wait heh', 'wait heh heh']
How gorgeous !	['gorgeous']	gorgeous	5	['gorgeous']	[]	[]
I am innocent !	['innocent']	innocent	8, 6, 7	['innocent']	[]	[]
I don't dance well .	['dont', 'dance', 'well']	dont dance well	6	['dont', 'dance', 'well']	['dont dance', 'dance well']	['dont dance well']
Let's take a walk .	['lets', 'take', 'walk']	lets take walk	2	['lets', 'take', 'walk']	['lets take', 'take walk']	['lets take walk']
Hey , [PERSON] , you going to the convention tomorrow ?	['hey', 'person', 'going', 'convention', 'tomorrow']	hey person going convention tomorrow	2	['hey', 'person', 'going', 'convention', 'tomorrow']	['hey person', 'person going', 'going convention', 'convention tomorrow']	['hey person going', 'person going convention', 'going convention tomorrow']
Or you can go straight back to your home on the streets .	['go', 'straight', 'back', 'home', 'streets']	go straight back home streets	3	['go', 'straight', 'back', 'home', 'streets']	['go straight', 'straight back', 'back home', 'home streets']	['go straight back', 'straight back home', 'back home streets']
The Delta [PERSON] house is having a party tonight , and you are cordially invited .	['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']	delta person house party tonight cordially invited	2	['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']	['delta person', 'person house', 'house party', 'party tonight', 'tonight cordially', 'cordially invited']	['delta person house', 'person house party', 'house party tonight', 'party tonight cordially', 'tonight cordially invited']
The reality however is much different .	['reality', 'however', 'much', 'different']	reality however much different	4	['reality', 'however', 'much', 'different']	['reality however', 'however much', 'much different']	['reality however much', 'however much different']
It's ... it's gonna take me a while to map out all of her movements .	['gonna', 'take', 'map', 'movements']	gonna take map movements	8	['gonna', 'take', 'map', 'movements']	['gonna take', 'take map', 'map movements']	['gonna take map', 'take map movements']
Thank you for letting me trespass .	['thank', 'letting', 'trespass']	thank letting trespass	8	['thank', 'letting', 'trespass']	['thank letting', 'letting trespass']	['thank letting trespass']
We weren't thinking of going quite that far with it .	['werent', 'thinking', 'going', 'quite', 'far']	werent thinking going quite far	7	['werent', 'thinking', 'going', 'quite', 'far']	['werent thinking', 'thinking going', 'going quite', 'quite far']	['werent thinking going', 'thinking going quite', 'going quite far']
No , you wouldn't .	['wouldnt']	wouldnt	7	['wouldnt']	[]	[]
Don't you understand ?	['dont', 'understand']	dont understand	1, 4, 7	['dont', 'understand']	['dont understand']	[]
gonna get another one ?	['gonna', 'get', 'another', 'one']	gonna get another one	2	['gonna', 'get', 'another', 'one']	['gonna get', 'get another', 'another one']	['gonna get another', 'get another one']
Take your hands off there , you old fool .	['take', 'hands', 'old', 'fool']	take hands old fool	3	['take', 'hands', 'old', 'fool']	['take hands', 'hands old', 'old fool']	['take hands old', 'hands old fool']
Come on now , let's go home .	['come', 'lets', 'go', 'home']	come lets go home	8	['come', 'lets', 'go', 'home']	['come lets', 'lets go', 'go home']	['come lets go', 'lets go home']
I'll be there .	['ill']	ill	8	['ill']	[]	[]
It's difficult holding her .	['difficult', 'holding']	difficult holding	4	['difficult', 'holding']	['difficult holding']	[]
Someday the revolution will come and we can overthrow our leader .	['someday', 'revolution', 'come', 'overthrow', 'leader']	someday revolution come overthrow leader	2	['someday', 'revolution', 'come', 'overthrow', 'leader']	['someday revolution', 'revolution come', 'come overthrow', 'overthrow leader']	['someday revolution come', 'revolution come overthrow', 'come overthrow leader']
Good night , [PERSON] .	['good', 'night', 'person']	good night person	8	['good', 'night', 'person']	['good night', 'night person']	['good night person']
Those men hadn't even thought of that .	['men', 'hadnt', 'even', 'thought']	men hadnt even thought	7	['men', 'hadnt', 'even', 'thought']	['men hadnt', 'hadnt even', 'even thought']	['men hadnt even', 'hadnt even thought']
Ahem . Father brophy was very disturbed .	['ahem', 'father', 'brophy', 'disturbed']	ahem father brophy disturbed	1, 6	['ahem', 'father', 'brophy', 'disturbed']	['ahem father', 'father brophy', 'brophy disturbed']	['ahem father brophy', 'father brophy disturbed']
The captain has an honest face too .	['captain', 'honest', 'face']	captain honest face	8	['captain', 'honest', 'face']	['captain honest', 'honest face']	['captain honest face']
The train is so stupid .	['train', 'stupid']	train stupid	3	['train', 'stupid']	['train stupid']	[]
I am far more powerful than you can ever imagine .	['far', 'powerful', 'ever', 'imagine']	far powerful ever imagine	8, 1, 2	['far', 'powerful', 'ever', 'imagine']	['far powerful', 'powerful ever', 'ever imagine']	['far powerful ever', 'powerful ever imagine']
Oh yeah ? You wan na tell me why ?	['oh', 'yeah', 'wan', 'na', 'tell']	oh yeah wan na tell	1	['oh', 'yeah', 'wan', 'na', 'tell']	['oh yeah', 'yeah wan', 'wan na', 'na tell']	['oh yeah wan', 'yeah wan na', 'wan na tell']
The sunsets were pink ...	['sunsets', 'pink']	sunsets pink	4	['sunsets', 'pink']	['sunsets pink']	[]
How good to see you !	['good', 'see']	good see	5	['good', 'see']	['good see']	[]
I've been doing some checking on you , Mr. [PERSON] .	['ive', 'checking', 'mr', 'person']	ive checking mr person	4, 7	['ive', 'checking', 'mr', 'person']	['ive checking', 'checking mr', 'mr person']	['ive checking mr', 'checking mr person']
I can't believe that .	['cant', 'believe']	cant believe	7	['cant', 'believe']	['cant believe']	[]
Don't you ever sleep ?	['dont', 'ever', 'sleep']	dont ever sleep	7	['dont', 'ever', 'sleep']	['dont ever', 'ever sleep']	['dont ever sleep']
One of these days , I'm gonna spend me the rest of my life in one of these hot ...	['one', 'days', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']	one days im gonna spend rest life one hot	2	['one', 'days', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']	['one days', 'days im', 'im gonna', 'gonna spend', 'spend rest', 'rest life', 'life one', 'one hot']	['one days im', 'days im gonna', 'im gonna spend', 'gonna spend rest', 'spend rest life', 'rest life one', 'life one hot']
Me and you are alive .	['alive']	alive	8, 5	['alive']	[]	[]
I think you've solved the problem .	['think', 'youve', 'solved', 'problem']	think youve solved problem	8	['think', 'youve', 'solved', 'problem']	['think youve', 'youve solved', 'solved problem']	['think youve solved', 'youve solved problem']
It's going to be a disaster .	['going', 'disaster']	going disaster	4, 6	['going', 'disaster']	['going disaster']	[]
The police would know what to do .	['police', 'would', 'know']	police would know	8	['police', 'would', 'know']	['police would', 'would know']	['police would know']
Anything that man tells me will be a lie .	['anything', 'man', 'tells', 'lie']	anything man tells lie	3	['anything', 'man', 'tells', 'lie']	['anything man', 'man tells', 'tells lie']	['anything man tells', 'man tells lie']
Do you think I do ?	['think']	think	1	['think']	[]	[]
I deeded him the land and he guaranteed me half of what he got if he made the sale .	['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']	deeded land guaranteed half got made sale	8	['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']	['deeded land', 'land guaranteed', 'guaranteed half', 'half got', 'got made', 'made sale']	['deeded land guaranteed', 'land guaranteed half', 'guaranteed half got', 'half got made', 'got made sale']
I haven't even told my wife yet . You haven't ?	['havent', 'even', 'told', 'wife', 'yet', 'havent']	havent even told wife yet havent	4	['havent', 'even', 'told', 'wife', 'yet', 'havent']	['havent even', 'even told', 'told wife', 'wife yet', 'yet havent']	['havent even told', 'even told wife', 'told wife yet', 'wife yet havent']
We'll go together .	['well', 'go', 'together']	well go together	2	['well', 'go', 'together']	['well go', 'go together']	['well go together']
I believe in your sweat .	['believe', 'sweat']	believe sweat	8	['believe', 'sweat']	['believe sweat']	[]
Well , what's there to talk about ?	['well', 'whats', 'talk']	well whats talk	1	['well', 'whats', 'talk']	['well whats', 'whats talk']	['well whats talk']
No she didn't . - Did you kill her ?	['didnt', 'kill']	didnt kill	1, 6	['didnt', 'kill']	['didnt kill']	[]
Leader , party just got bigger .	['leader', 'party', 'got', 'bigger']	leader party got bigger	7	['leader', 'party', 'got', 'bigger']	['leader party', 'party got', 'got bigger']	['leader party got', 'party got bigger']
Now let him win it back !	['let', 'win', 'back']	let win back	7	['let', 'win', 'back']	['let win', 'win back']	['let win back']
You'll not take her while I live !	['youll', 'take', 'live']	youll take live	1	['youll', 'take', 'live']	['youll take', 'take live']	['youll take live']
Please come . Please come .	['please', 'come', 'please', 'come']	please come please come	6	['please', 'come', 'please', 'come']	['please come', 'come please', 'please come']	['please come please', 'come please come']
