text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
I've lost another man and that bastard thinks it's funny .	Ive lost another man and that bastard thinks its funny	ive lost another man and that bastard thinks its funny	['ive', 'lost', 'another', 'man', 'and', 'that', 'bastard', 'thinks', 'its', 'funny']	['ive', 'lost', 'another', 'man', 'bastard', 'thinks', 'funny']	['ive', 'lost', 'another', 'man', 'bastard', 'think', 'funny']	3
Fantasia will be forgotten .	Fantasia will be forgotten	fantasia will be forgotten	['fantasia', 'will', 'be', 'forgotten']	['fantasia', 'forgotten']	['fantasia', 'forgotten']	6
You dirty rat .	You dirty rat	you dirty rat	['you', 'dirty', 'rat']	['dirty', 'rat']	['dirty', 'rat']	1, 3
Is she the one in the painting ?	Is she the one in the painting	is she the one in the painting	['is', 'she', 'the', 'one', 'in', 'the', 'painting']	['one', 'painting']	['one', 'painting']	7
They gave me a piece of candy in the store .	They gave me a piece of candy in the store	they gave me a piece of candy in the store	['they', 'gave', 'me', 'a', 'piece', 'of', 'candy', 'in', 'the', 'store']	['gave', 'piece', 'candy', 'store']	['gave', 'piece', 'candy', 'store']	5
Brought about by what is know as  the miracle of love  .	Brought about by what is know as  the miracle of love	brought about by what is know as  the miracle of love	['brought', 'about', 'by', 'what', 'is', 'know', 'as', 'the', 'miracle', 'of', 'love']	['brought', 'know', 'miracle', 'love']	['brought', 'know', 'miracle', 'love']	5
You might be able to find something out there alone .	You might be able to find something out there alone	you might be able to find something out there alone	['you', 'might', 'be', 'able', 'to', 'find', 'something', 'out', 'there', 'alone']	['might', 'able', 'find', 'something', 'alone']	['might', 'able', 'find', 'something', 'alone']	8
A whale can stave in the ribs of the biggest ships , swallow whole crews , pick its teeth with the oars .	A whale can stave in the ribs of the biggest ships  swallow whole crews  pick its teeth with the oars	a whale can stave in the ribs of the biggest ships  swallow whole crews  pick its teeth with the oars	['a', 'whale', 'can', 'stave', 'in', 'the', 'ribs', 'of', 'the', 'biggest', 'ships', 'swallow', 'whole', 'crews', 'pick', 'its', 'teeth', 'with', 'the', 'oars']	['whale', 'stave', 'ribs', 'biggest', 'ships', 'swallow', 'whole', 'crews', 'pick', 'teeth', 'oars']	['whale', 'stave', 'rib', 'biggest', 'ship', 'swallow', 'whole', 'crew', 'pick', 'teeth', 'oar']	4
Looking for [PERSON] ?	Looking for PERSON	looking for person	['looking', 'for', 'person']	['looking', 'person']	['looking', 'person']	2, 5
Good job , good job .	Good job  good job	good job  good job	['good', 'job', 'good', 'job']	['good', 'job', 'good', 'job']	['good', 'job', 'good', 'job']	5
We were thinking of getting engaged anyway .	We were thinking of getting engaged anyway	we were thinking of getting engaged anyway	['we', 'were', 'thinking', 'of', 'getting', 'engaged', 'anyway']	['thinking', 'getting', 'engaged', 'anyway']	['thinking', 'getting', 'engaged', 'anyway']	2
Power is on its way .	Power is on its way	power is on its way	['power', 'is', 'on', 'its', 'way']	['power', 'way']	['power', 'way']	8, 2
One two three !	One two three	one two three	['one', 'two', 'three']	['one', 'two', 'three']	['one', 'two', 'three']	5
How could you let her do a thing like this ? What ?	How could you let her do a thing like this  What	how could you let her do a thing like this  what	['how', 'could', 'you', 'let', 'her', 'do', 'a', 'thing', 'like', 'this', 'what']	['could', 'let', 'thing', 'like']	['could', 'let', 'thing', 'like']	2, 7
Wait till my mates get you .	Wait till my mates get you	wait till my mates get you	['wait', 'till', 'my', 'mates', 'get', 'you']	['wait', 'till', 'mates', 'get']	['wait', 'till', 'mate', 'get']	4
Like [PERSON] lost control ?	Like PERSON lost control	like person lost control	['like', 'person', 'lost', 'control']	['like', 'person', 'lost', 'control']	['like', 'person', 'lost', 'control']	7
That's a good touch . Have the kid leave .  	Thats a good touch  Have the kid leave	thats a good touch  have the kid leave	['thats', 'a', 'good', 'touch', 'have', 'the', 'kid', 'leave']	['thats', 'good', 'touch', 'kid', 'leave']	['thats', 'good', 'touch', 'kid', 'leave']	5
Are you telling me not to worry but free the lab when you work everything out ?	Are you telling me not to worry but free the lab when you work everything out	are you telling me not to worry but free the lab when you work everything out	['are', 'you', 'telling', 'me', 'not', 'to', 'worry', 'but', 'free', 'the', 'lab', 'when', 'you', 'work', 'everything', 'out']	['telling', 'worry', 'free', 'lab', 'work', 'everything']	['telling', 'worry', 'free', 'lab', 'work', 'everything']	1
How did you know my name ?	How did you know my name	how did you know my name	['how', 'did', 'you', 'know', 'my', 'name']	['know', 'name']	['know', 'name']	7
This bloody sod accused me of stealing me mate's grub .	This bloody sod accused me of stealing me mates grub	this bloody sod accused me of stealing me mates grub	['this', 'bloody', 'sod', 'accused', 'me', 'of', 'stealing', 'me', 'mates', 'grub']	['bloody', 'sod', 'accused', 'stealing', 'mates', 'grub']	['bloody', 'sod', 'accused', 'stealing', 'mate', 'grub']	1
They have no husbands and they cry .	They have no husbands and they cry	they have no husbands and they cry	['they', 'have', 'no', 'husbands', 'and', 'they', 'cry']	['husbands', 'cry']	['husband', 'cry']	6
You expect us to stand all the way ?	You expect us to stand all the way	you expect us to stand all the way	['you', 'expect', 'us', 'to', 'stand', 'all', 'the', 'way']	['expect', 'us', 'stand', 'way']	['expect', 'u', 'stand', 'way']	1
There's gas coming out of the wing .	Theres gas coming out of the wing	theres gas coming out of the wing	['theres', 'gas', 'coming', 'out', 'of', 'the', 'wing']	['theres', 'gas', 'coming', 'wing']	['there', 'gas', 'coming', 'wing']	4
He didn't know ...	He didnt know	he didnt know	['he', 'didnt', 'know']	['didnt', 'know']	['didnt', 'know']	6
He's after me .	Hes after me	hes after me	['hes', 'after', 'me']	['hes']	['he']	4, 6
Yes . Take care now .	Yes  Take care now	yes  take care now	['yes', 'take', 'care', 'now']	['yes', 'take', 'care']	['yes', 'take', 'care']	8, 2
I do not count , only King account .	I do not count  only King account	i do not count  only king account	['i', 'do', 'not', 'count', 'only', 'king', 'account']	['count', 'king', 'account']	['count', 'king', 'account']	2
He's mine !	Hes mine	hes mine	['hes', 'mine']	['hes', 'mine']	['he', 'mine']	5
Hey , I'm sorry about upstairs but I do see your pretty face and I just had to kiss it .	Hey  Im sorry about upstairs but I do see your pretty face and I just had to kiss it	hey  im sorry about upstairs but i do see your pretty face and i just had to kiss it	['hey', 'im', 'sorry', 'about', 'upstairs', 'but', 'i', 'do', 'see', 'your', 'pretty', 'face', 'and', 'i', 'just', 'had', 'to', 'kiss', 'it']	['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']	['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']	4
Now , let's get back to our examination . Shall we ?	Now  lets get back to our examination  Shall we	now  lets get back to our examination  shall we	['now', 'lets', 'get', 'back', 'to', 'our', 'examination', 'shall', 'we']	['lets', 'get', 'back', 'examination', 'shall']	['let', 'get', 'back', 'examination', 'shall']	1
Careful , brother .	Careful  brother	careful  brother	['careful', 'brother']	['careful', 'brother']	['careful', 'brother']	4
If it's more important than golf , go ahead .	If its more important than golf  go ahead	if its more important than golf  go ahead	['if', 'its', 'more', 'important', 'than', 'golf', 'go', 'ahead']	['important', 'golf', 'go', 'ahead']	['important', 'golf', 'go', 'ahead']	2
It's very pretty .	Its very pretty	its very pretty	['its', 'very', 'pretty']	['pretty']	['pretty']	5
Looking forward to it , I might say .	Looking forward to it  I might say	looking forward to it  i might say	['looking', 'forward', 'to', 'it', 'i', 'might', 'say']	['looking', 'forward', 'might', 'say']	['looking', 'forward', 'might', 'say']	2
This girl's been in an accident , [PERSON] .	This girls been in an accident  PERSON	this girls been in an accident  person	['this', 'girls', 'been', 'in', 'an', 'accident', 'person']	['girls', 'accident', 'person']	['girl', 'accident', 'person']	4
She knows , wanted , of certainty that this cushion is wet .	She knows  wanted  of certainty that this cushion is wet	she knows  wanted  of certainty that this cushion is wet	['she', 'knows', 'wanted', 'of', 'certainty', 'that', 'this', 'cushion', 'is', 'wet']	['knows', 'wanted', 'certainty', 'cushion', 'wet']	['know', 'wanted', 'certainty', 'cushion', 'wet']	8
You made the spell and you can undo it !	You made the spell and you can undo it	you made the spell and you can undo it	['you', 'made', 'the', 'spell', 'and', 'you', 'can', 'undo', 'it']	['made', 'spell', 'undo']	['made', 'spell', 'undo']	1
It seems there's no formal contract between you and [LOCATION] .	It seems theres no formal contract between you and LOCATION	it seems theres no formal contract between you and location	['it', 'seems', 'theres', 'no', 'formal', 'contract', 'between', 'you', 'and', 'location']	['seems', 'theres', 'formal', 'contract', 'location']	['seems', 'there', 'formal', 'contract', 'location']	6
When I'm and you're still the way you are ?	When Im and youre still the way you are	when im and youre still the way you are	['when', 'im', 'and', 'youre', 'still', 'the', 'way', 'you', 'are']	['im', 'youre', 'still', 'way']	['im', 'youre', 'still', 'way']	3
He objects , she sustains , every time . The old flame's still burning , huh ?	He objects  she sustains  every time  The old flames still burning  huh	he objects  she sustains  every time  the old flames still burning  huh	['he', 'objects', 'she', 'sustains', 'every', 'time', 'the', 'old', 'flames', 'still', 'burning', 'huh']	['objects', 'sustains', 'every', 'time', 'old', 'flames', 'still', 'burning', 'huh']	['object', 'sustains', 'every', 'time', 'old', 'flame', 'still', 'burning', 'huh']	7
I'm relaxed .	Im relaxed	im relaxed	['im', 'relaxed']	['im', 'relaxed']	['im', 'relaxed']	5
[PERSON] says very nice things about you in her letters .	PERSON says very nice things about you in her letters	person says very nice things about you in her letters	['person', 'says', 'very', 'nice', 'things', 'about', 'you', 'in', 'her', 'letters']	['person', 'says', 'nice', 'things', 'letters']	['person', 'say', 'nice', 'thing', 'letter']	5
♪ Got a whale of a tale to tell you , boys ♪	♪ Got a whale of a tale to tell you  boys ♪	♪ got a whale of a tale to tell you  boys ♪	['', 'got', 'a', 'whale', 'of', 'a', 'tale', 'to', 'tell', 'you', 'boys', '']	['', 'got', 'whale', 'tale', 'tell', 'boys', '']	['', 'got', 'whale', 'tale', 'tell', 'boy', '']	2, 5
Why were his fingerprints all over that goddamn glass ?	Why were his fingerprints all over that goddamn glass	why were his fingerprints all over that goddamn glass	['why', 'were', 'his', 'fingerprints', 'all', 'over', 'that', 'goddamn', 'glass']	['fingerprints', 'goddamn', 'glass']	['fingerprint', 'goddamn', 'glass']	1, 3
Dear Mr. [PERSON] .   This is about a deputy prosecuting attorney who is taking bribes .  	Dear Mr PERSON    This is about a deputy prosecuting attorney who is taking bribes	dear mr person    this is about a deputy prosecuting attorney who is taking bribes	['dear', 'mr', 'person', 'this', 'is', 'about', 'a', 'deputy', 'prosecuting', 'attorney', 'who', 'is', 'taking', 'bribes']	['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribes']	['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribe']	6, 7
I'll take care of him .	Ill take care of him	ill take care of him	['ill', 'take', 'care', 'of', 'him']	['ill', 'take', 'care']	['ill', 'take', 'care']	8, 5
He takes good care of that .	He takes good care of that	he takes good care of that	['he', 'takes', 'good', 'care', 'of', 'that']	['takes', 'good', 'care']	['take', 'good', 'care']	8
Let the boy come in , [PERSON] .	Let the boy come in  PERSON	let the boy come in  person	['let', 'the', 'boy', 'come', 'in', 'person']	['let', 'boy', 'come', 'person']	['let', 'boy', 'come', 'person']	8
I know old [PERSON] .	I know old PERSON	i know old person	['i', 'know', 'old', 'person']	['know', 'old', 'person']	['know', 'old', 'person']	8
What a charming idea for [LOCATION] to surprise us with a lady comrade .	What a charming idea for LOCATION to surprise us with a lady comrade	what a charming idea for location to surprise us with a lady comrade	['what', 'a', 'charming', 'idea', 'for', 'location', 'to', 'surprise', 'us', 'with', 'a', 'lady', 'comrade']	['charming', 'idea', 'location', 'surprise', 'us', 'lady', 'comrade']	['charming', 'idea', 'location', 'surprise', 'u', 'lady', 'comrade']	7
You're passing up the whitest man on earth for a dirty , no - good ...	Youre passing up the whitest man on earth for a dirty  no  good	youre passing up the whitest man on earth for a dirty  no  good	['youre', 'passing', 'up', 'the', 'whitest', 'man', 'on', 'earth', 'for', 'a', 'dirty', 'no', 'good']	['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']	['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']	3
You look tired , Little Big Man .	You look tired  Little Big Man	you look tired  little big man	['you', 'look', 'tired', 'little', 'big', 'man']	['look', 'tired', 'little', 'big', 'man']	['look', 'tired', 'little', 'big', 'man']	6
Something funny happened this morning at the store .	Something funny happened this morning at the store	something funny happened this morning at the store	['something', 'funny', 'happened', 'this', 'morning', 'at', 'the', 'store']	['something', 'funny', 'happened', 'morning', 'store']	['something', 'funny', 'happened', 'morning', 'store']	5
Shall I open a vein and sign it in blood ?	Shall I open a vein and sign it in blood	shall i open a vein and sign it in blood	['shall', 'i', 'open', 'a', 'vein', 'and', 'sign', 'it', 'in', 'blood']	['shall', 'open', 'vein', 'sign', 'blood']	['shall', 'open', 'vein', 'sign', 'blood']	3
Want to take a look ?	Want to take a look	want to take a look	['want', 'to', 'take', 'a', 'look']	['want', 'take', 'look']	['want', 'take', 'look']	8
She's won and I've lost .	Shes won and Ive lost	shes won and ive lost	['shes', 'won', 'and', 'ive', 'lost']	['shes', 'ive', 'lost']	['shes', 'ive', 'lost']	6
I'm a little bit frightened .	Im a little bit frightened	im a little bit frightened	['im', 'a', 'little', 'bit', 'frightened']	['im', 'little', 'bit', 'frightened']	['im', 'little', 'bit', 'frightened']	4
You're still in love with her .	Youre still in love with her	youre still in love with her	['youre', 'still', 'in', 'love', 'with', 'her']	['youre', 'still', 'love']	['youre', 'still', 'love']	8
Left !	Left	left	['left']	['left']	['left']	1
What the hell are you trying to do to me ?	What the hell are you trying to do to me	what the hell are you trying to do to me	['what', 'the', 'hell', 'are', 'you', 'trying', 'to', 'do', 'to', 'me']	['hell', 'trying']	['hell', 'trying']	1
I'd like to see Nurse Lt. [PERSON] .	Id like to see Nurse Lt PERSON	id like to see nurse lt person	['id', 'like', 'to', 'see', 'nurse', 'lt', 'person']	['id', 'like', 'see', 'nurse', 'lt', 'person']	['id', 'like', 'see', 'nurse', 'lt', 'person']	2
For you to become a murderer ?	For you to become a murderer	for you to become a murderer	['for', 'you', 'to', 'become', 'a', 'murderer']	['become', 'murderer']	['become', 'murderer']	3, 6, 7
It's all I've got left .	Its all Ive got left	its all ive got left	['its', 'all', 'ive', 'got', 'left']	['ive', 'got', 'left']	['ive', 'got', 'left']	6
They'd never approve of that being released .	Theyd never approve of that being released	theyd never approve of that being released	['theyd', 'never', 'approve', 'of', 'that', 'being', 'released']	['theyd', 'never', 'approve', 'released']	['theyd', 'never', 'approve', 'released']	4
And you know what ? They offered us a job .	And you know what  They offered us a job	and you know what  they offered us a job	['and', 'you', 'know', 'what', 'they', 'offered', 'us', 'a', 'job']	['know', 'offered', 'us', 'job']	['know', 'offered', 'u', 'job']	7
I can't wait . Heh heh .	I cant wait  Heh heh	i cant wait  heh heh	['i', 'cant', 'wait', 'heh', 'heh']	['cant', 'wait', 'heh', 'heh']	['cant', 'wait', 'heh', 'heh']	2, 5
How gorgeous !	How gorgeous	how gorgeous	['how', 'gorgeous']	['gorgeous']	['gorgeous']	5
I am innocent !	I am innocent	i am innocent	['i', 'am', 'innocent']	['innocent']	['innocent']	8, 6, 7
I don't dance well .	I dont dance well	i dont dance well	['i', 'dont', 'dance', 'well']	['dont', 'dance', 'well']	['dont', 'dance', 'well']	6
Let's take a walk .	Lets take a walk	lets take a walk	['lets', 'take', 'a', 'walk']	['lets', 'take', 'walk']	['let', 'take', 'walk']	2
Hey , [PERSON] , you going to the convention tomorrow ?	Hey  PERSON  you going to the convention tomorrow	hey  person  you going to the convention tomorrow	['hey', 'person', 'you', 'going', 'to', 'the', 'convention', 'tomorrow']	['hey', 'person', 'going', 'convention', 'tomorrow']	['hey', 'person', 'going', 'convention', 'tomorrow']	2
Or you can go straight back to your home on the streets .	Or you can go straight back to your home on the streets	or you can go straight back to your home on the streets	['or', 'you', 'can', 'go', 'straight', 'back', 'to', 'your', 'home', 'on', 'the', 'streets']	['go', 'straight', 'back', 'home', 'streets']	['go', 'straight', 'back', 'home', 'street']	3
The Delta [PERSON] house is having a party tonight , and you are cordially invited .	The Delta PERSON house is having a party tonight  and you are cordially invited	the delta person house is having a party tonight  and you are cordially invited	['the', 'delta', 'person', 'house', 'is', 'having', 'a', 'party', 'tonight', 'and', 'you', 'are', 'cordially', 'invited']	['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']	['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']	2
The reality however is much different .	The reality however is much different	the reality however is much different	['the', 'reality', 'however', 'is', 'much', 'different']	['reality', 'however', 'much', 'different']	['reality', 'however', 'much', 'different']	4
It's ... it's gonna take me a while to map out all of her movements .	Its  its gonna take me a while to map out all of her movements	its  its gonna take me a while to map out all of her movements	['its', 'its', 'gonna', 'take', 'me', 'a', 'while', 'to', 'map', 'out', 'all', 'of', 'her', 'movements']	['gonna', 'take', 'map', 'movements']	['gonna', 'take', 'map', 'movement']	8
Thank you for letting me trespass .	Thank you for letting me trespass	thank you for letting me trespass	['thank', 'you', 'for', 'letting', 'me', 'trespass']	['thank', 'letting', 'trespass']	['thank', 'letting', 'trespass']	8
We weren't thinking of going quite that far with it .	We werent thinking of going quite that far with it	we werent thinking of going quite that far with it	['we', 'werent', 'thinking', 'of', 'going', 'quite', 'that', 'far', 'with', 'it']	['werent', 'thinking', 'going', 'quite', 'far']	['werent', 'thinking', 'going', 'quite', 'far']	7
No , you wouldn't .	No  you wouldnt	no  you wouldnt	['no', 'you', 'wouldnt']	['wouldnt']	['wouldnt']	7
Don't you understand ?	Dont you understand	dont you understand	['dont', 'you', 'understand']	['dont', 'understand']	['dont', 'understand']	1, 4, 7
gonna get another one ?	gonna get another one	gonna get another one	['gonna', 'get', 'another', 'one']	['gonna', 'get', 'another', 'one']	['gonna', 'get', 'another', 'one']	2
Take your hands off there , you old fool .	Take your hands off there  you old fool	take your hands off there  you old fool	['take', 'your', 'hands', 'off', 'there', 'you', 'old', 'fool']	['take', 'hands', 'old', 'fool']	['take', 'hand', 'old', 'fool']	3
Come on now , let's go home .	Come on now  lets go home	come on now  lets go home	['come', 'on', 'now', 'lets', 'go', 'home']	['come', 'lets', 'go', 'home']	['come', 'let', 'go', 'home']	8
I'll be there .	Ill be there	ill be there	['ill', 'be', 'there']	['ill']	['ill']	8
It's difficult holding her .	Its difficult holding her	its difficult holding her	['its', 'difficult', 'holding', 'her']	['difficult', 'holding']	['difficult', 'holding']	4
Someday the revolution will come and we can overthrow our leader .	Someday the revolution will come and we can overthrow our leader	someday the revolution will come and we can overthrow our leader	['someday', 'the', 'revolution', 'will', 'come', 'and', 'we', 'can', 'overthrow', 'our', 'leader']	['someday', 'revolution', 'come', 'overthrow', 'leader']	['someday', 'revolution', 'come', 'overthrow', 'leader']	2
Good night , [PERSON] .	Good night  PERSON	good night  person	['good', 'night', 'person']	['good', 'night', 'person']	['good', 'night', 'person']	8
Those men hadn't even thought of that .	Those men hadnt even thought of that	those men hadnt even thought of that	['those', 'men', 'hadnt', 'even', 'thought', 'of', 'that']	['men', 'hadnt', 'even', 'thought']	['men', 'hadnt', 'even', 'thought']	7
Ahem . Father brophy was very disturbed .	Ahem  Father brophy was very disturbed	ahem  father brophy was very disturbed	['ahem', 'father', 'brophy', 'was', 'very', 'disturbed']	['ahem', 'father', 'brophy', 'disturbed']	['ahem', 'father', 'brophy', 'disturbed']	1, 6
The captain has an honest face too .	The captain has an honest face too	the captain has an honest face too	['the', 'captain', 'has', 'an', 'honest', 'face', 'too']	['captain', 'honest', 'face']	['captain', 'honest', 'face']	8
The train is so stupid .	The train is so stupid	the train is so stupid	['the', 'train', 'is', 'so', 'stupid']	['train', 'stupid']	['train', 'stupid']	3
I am far more powerful than you can ever imagine .	I am far more powerful than you can ever imagine	i am far more powerful than you can ever imagine	['i', 'am', 'far', 'more', 'powerful', 'than', 'you', 'can', 'ever', 'imagine']	['far', 'powerful', 'ever', 'imagine']	['far', 'powerful', 'ever', 'imagine']	8, 1, 2
Oh yeah ? You wan na tell me why ?	Oh yeah  You wan na tell me why	oh yeah  you wan na tell me why	['oh', 'yeah', 'you', 'wan', 'na', 'tell', 'me', 'why']	['oh', 'yeah', 'wan', 'na', 'tell']	['oh', 'yeah', 'wan', 'na', 'tell']	1
The sunsets were pink ...	The sunsets were pink	the sunsets were pink	['the', 'sunsets', 'were', 'pink']	['sunsets', 'pink']	['sunset', 'pink']	4
How good to see you !	How good to see you	how good to see you	['how', 'good', 'to', 'see', 'you']	['good', 'see']	['good', 'see']	5
