text,preprocessed,label,raw_anger,raw_anticipation,raw_disgust,raw_fear,raw_joy,raw_sadness,raw_surprise,raw_trust,emotion_words
"[PERSON] , it's so good to have you around .","['person', 'good', 'around']",5,0.0,0.383,0.0,0.0,0.547,0.0,0.219,0.617,['good']
"And with the telling , it became easier .","['telling', 'became', 'easier']",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I guess we're all trying to prove something to ourselves .,"['guess', 'trying', 'prove', 'something']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,['guess']
We didn't have a mortgage .,"['didnt', 'mortgage']",6,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0,['mortgage']
They say it is the skin of a dead snake .,"['say', 'skin', 'dead', 'snake']",3,0.0,0.0,0.562,0.776,0.0,0.0,0.0,0.0,['snake']
"Call me , okay ?","['call', 'okay']","4, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I had the most frightening experience .,"['frightening', 'experience']",4,0.0,0.0,0.0,0.844,0.375,0.0,0.0,0.0,"['frightening', 'experience']"
"Look , we don't need him .","['look', 'dont', 'need']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
We didn't win because [PERSON] has video of [PERSON] in their offices .,"['didnt', 'win', 'person', 'video', 'person', 'office']",1,0.0,0.0,0.0,0.0,0.727,0.0,0.0,0.0,['win']
You listen to me .,['listen'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Somebody told me they thought he'd killed a man once .,"['somebody', 'told', 'thought', 'hed', 'killed', 'man']",4,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,['thought']
Turn him off .,['turn'],"1, 2",0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,['turn']
It made me Mink about all of us being together again and how we used to be .,"['made', 'mink', 'u', 'together', 'used']",6,0.0,0.0,0.0,0.0,0.394,0.0,0.0,0.0,['together']
That explains why they didn't rape me right off .,"['explains', 'didnt', 'rape', 'right']",4,0.894,0.0,0.906,0.87,0.0,0.875,0.0,0.0,['rape']
I read it in a report this morning and ...,"['read', 'report', 'morning']",6,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,['morning']
I'd want to pay you both .,"['id', 'want', 'pay']",8,0.0,0.461,0.0,0.0,0.242,0.0,0.0,0.43,['pay']
I'm supposed to be your partner here .,"['im', 'supposed', 'partner']",1,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,['partner']
"You know , he's ... he's been so kind to me .","['know', 'he', 'he', 'kind']",8,0.0,0.0,0.0,0.0,0.621,0.0,0.0,0.641,['kind']
He'll never leave [LOCATION] . Then let him stay .,"['hell', 'never', 'leave', 'location', 'let', 'stay']",1,0.853,0.0,0.68,0.86,0.0,1.028,0.234,0.0,"['hell', 'leave']"
She's down .,['shes'],6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I've lost another man and that bastard thinks it's funny .,"['ive', 'lost', 'another', 'man', 'bastard', 'think', 'funny']",3,0.0,0.0,0.57,0.0,0.0,0.991,0.0,0.0,"['lost', 'bastard']"
Fantasia will be forgotten .,"['fantasia', 'forgotten']",6,0.0,0.0,0.0,0.266,0.0,0.53,0.0,0.0,['forgotten']
You dirty rat .,"['dirty', 'rat']","1, 3",0.0,0.0,1.3599999999999999,0.484,0.0,0.0,0.0,0.0,"['dirty', 'rat']"
Is she the one in the painting ?,"['one', 'painting']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
They gave me a piece of candy in the store .,"['gave', 'piece', 'candy', 'store']",5,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.0,['store']
Brought about by what is know as  the miracle of love  .,"['brought', 'know', 'miracle', 'love']",5,0.0,0.633,0.0,0.0,1.5699999999999998,0.0,0.859,1.32,"['miracle', 'love']"
You might be able to find something out there alone .,"['might', 'able', 'find', 'something', 'alone']",8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,['alone']
"A whale can stave in the ribs of the biggest ships , swallow whole crews , pick its teeth with the oars .","['whale', 'stave', 'rib', 'biggest', 'ship', 'swallow', 'whole', 'crew', 'pick', 'teeth', 'oar']",4,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.445,"['ship', 'crew']"
Looking for [PERSON] ?,"['looking', 'person']","2, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Good job , good job .","['good', 'job', 'good', 'job']",5,0.0,0.766,0.0,0.0,1.094,0.0,0.438,1.234,"['good', 'good']"
We were thinking of getting engaged anyway .,"['thinking', 'getting', 'engaged', 'anyway']",2,0.0,0.641,0.0,0.0,0.652,0.0,0.0,0.625,['engaged']
Power is on its way .,"['power', 'way']","8, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
One two three !,"['one', 'two', 'three']",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
How could you let her do a thing like this ? What ?,"['could', 'let', 'thing', 'like']","2, 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,['like']
Wait till my mates get you .,"['wait', 'till', 'mate', 'get']",4,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.586,"['wait', 'mate']"
Like [PERSON] lost control ?,"['like', 'person', 'lost', 'control']",7,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.484,"['like', 'lost']"
That's a good touch . Have the kid leave .  ,"['thats', 'good', 'touch', 'kid', 'leave']",5,0.0,0.383,0.0,0.0,1.062,0.328,0.453,0.617,"['good', 'kid', 'leave']"
Are you telling me not to worry but free the lab when you work everything out ?,"['telling', 'worry', 'free', 'lab', 'work', 'everything']",1,0.0,0.492,0.0,0.578,0.544,0.641,0.0,0.0,"['worry', 'free']"
How did you know my name ?,"['know', 'name']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
This bloody sod accused me of stealing me mate's grub .,"['bloody', 'sod', 'accused', 'stealing', 'mate', 'grub']",1,1.4220000000000002,0.0,1.117,1.8279999999999998,0.0,0.806,0.0,0.586,"['bloody', 'accused', 'stealing', 'mate']"
They have no husbands and they cry .,"['husband', 'cry']",6,0.0,0.0,0.0,0.0,0.438,0.75,0.0,0.0,"['husband', 'cry']"
You expect us to stand all the way ?,"['expect', 'u', 'stand', 'way']",1,0.0,0.742,0.0,0.0,0.0,0.0,0.148,0.477,['expect']
There's gas coming out of the wing .,"['there', 'gas', 'coming', 'wing']",4,0.0,0.633,0.0,0.0,0.0,0.0,0.0,0.0,['coming']
He didn't know ...,"['didnt', 'know']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
He's after me .,['he'],"4, 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Yes . Take care now .,"['yes', 'take', 'care']","8, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"I do not count , only King account .","['count', 'king', 'account']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9530000000000001,"['count', 'account']"
He's mine !,"['he', 'mine']",5,0.0,0.0,0.0,0.0,0.297,0.0,0.0,0.0,['mine']
"Hey , I'm sorry about upstairs but I do see your pretty face and I just had to kiss it .","['hey', 'im', 'sorry', 'upstairs', 'see', 'pretty', 'face', 'kiss']",4,0.0,1.125,0.0,0.0,1.079,0.0,0.312,0.367,"['pretty', 'kiss']"
"Now , let's get back to our examination . Shall we ?","['let', 'get', 'back', 'examination', 'shall']",1,0.0,0.0,0.0,0.204,0.0,0.0,0.32,0.0,['examination']
"Careful , brother .","['careful', 'brother']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226,"['careful', 'brother']"
"If it's more important than golf , go ahead .","['important', 'golf', 'go', 'ahead']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,['important']
It's very pretty .,['pretty'],5,0.0,0.414,0.0,0.0,0.469,0.0,0.0,0.367,['pretty']
"Looking forward to it , I might say .","['looking', 'forward', 'might', 'say']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"This girl's been in an accident , [PERSON] .","['girl', 'accident', 'person']",4,0.0,0.0,0.0,0.75,0.0,0.516,0.75,0.0,['accident']
"She knows , wanted , of certainty that this cushion is wet .","['know', 'wanted', 'certainty', 'cushion', 'wet']",8,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,['wet']
You made the spell and you can undo it !,"['made', 'spell', 'undo']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
It seems there's no formal contract between you and [LOCATION] .,"['seems', 'there', 'formal', 'contract', 'location']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
When I'm and you're still the way you are ?,"['im', 'youre', 'still', 'way']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"He objects , she sustains , every time . The old flame's still burning , huh ?","['object', 'sustains', 'every', 'time', 'old', 'flame', 'still', 'burning', 'huh']",7,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.0,['time']
I'm relaxed .,"['im', 'relaxed']",5,0.0,0.0,0.0,0.0,0.442,0.0,0.0,0.0,['relaxed']
[PERSON] says very nice things about you in her letters .,"['person', 'say', 'nice', 'thing', 'letter']",5,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,['letter']
"♪ Got a whale of a tale to tell you , boys ♪","['', 'got', 'whale', 'tale', 'tell', 'boy', '']","2, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Why were his fingerprints all over that goddamn glass ?,"['fingerprint', 'goddamn', 'glass']","1, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Dear Mr. [PERSON] .   This is about a deputy prosecuting attorney who is taking bribes .  ,"['dear', 'mr', 'person', 'deputy', 'prosecuting', 'attorney', 'taking', 'bribe']","6, 7",0.152,0.0,0.0,0.188,0.0,0.0,0.0,0.8049999999999999,"['deputy', 'attorney']"
I'll take care of him .,"['ill', 'take', 'care']","8, 5",0.333,0.0,0.492,0.621,0.0,0.594,0.0,0.0,['ill']
He takes good care of that .,"['take', 'good', 'care']",8,0.0,0.383,0.0,0.0,0.547,0.0,0.219,0.617,['good']
"Let the boy come in , [PERSON] .","['let', 'boy', 'come', 'person']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I know old [PERSON] .,"['know', 'old', 'person']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
What a charming idea for [LOCATION] to surprise us with a lady comrade .,"['charming', 'idea', 'location', 'surprise', 'u', 'lady', 'comrade']",7,0.0,0.0,0.0,0.172,0.562,0.0,0.93,0.648,"['surprise', 'comrade']"
"You're passing up the whitest man on earth for a dirty , no - good ...","['youre', 'passing', 'whitest', 'man', 'earth', 'dirty', 'good']",3,0.0,0.383,0.727,0.0,0.547,0.0,0.219,0.617,"['dirty', 'good']"
"You look tired , Little Big Man .","['look', 'tired', 'little', 'big', 'man']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Something funny happened this morning at the store .,"['something', 'funny', 'happened', 'morning', 'store']",5,0.0,0.352,0.0,0.0,0.25,0.0,0.0,0.0,"['morning', 'store']"
Shall I open a vein and sign it in blood ?,"['shall', 'open', 'vein', 'sign', 'blood']",3,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,['blood']
Want to take a look ?,"['want', 'take', 'look']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
She's won and I've lost .,"['shes', 'ive', 'lost']",6,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,['lost']
I'm a little bit frightened .,"['im', 'little', 'bit', 'frightened']",4,0.0,0.0,0.0,0.844,0.0,0.0,0.867,0.0,['frightened']
You're still in love with her .,"['youre', 'still', 'love']",8,0.0,0.0,0.0,0.0,0.828,0.0,0.0,0.758,['love']
Left !,['left'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
What the hell are you trying to do to me ?,"['hell', 'trying']",1,0.853,0.0,0.68,0.86,0.0,0.7,0.0,0.0,['hell']
I'd like to see Nurse Lt. [PERSON] .,"['id', 'like', 'see', 'nurse', 'lt', 'person']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0779999999999998,"['like', 'nurse']"
For you to become a murderer ?,"['become', 'murderer']","3, 6, 7",0.922,0.0,0.82,0.953,0.0,0.877,0.0,0.0,['murderer']
It's all I've got left .,"['ive', 'got', 'left']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
They'd never approve of that being released .,"['theyd', 'never', 'approve', 'released']",4,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.68,['approve']
And you know what ? They offered us a job .,"['know', 'offered', 'u', 'job']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I can't wait . Heh heh .,"['cant', 'wait', 'heh', 'heh']","2, 5",0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,['wait']
How gorgeous !,['gorgeous'],5,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,['gorgeous']
I am innocent !,['innocent'],"8, 6, 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703,['innocent']
I don't dance well .,"['dont', 'dance', 'well']",6,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.359,['dance']
Let's take a walk .,"['let', 'take', 'walk']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Hey , [PERSON] , you going to the convention tomorrow ?","['hey', 'person', 'going', 'convention', 'tomorrow']",2,0.0,0.648,0.0,0.0,0.0,0.0,0.0,0.0,['tomorrow']
Or you can go straight back to your home on the streets .,"['go', 'straight', 'back', 'home', 'street']",3,0.0,0.0,0.0,0.0,0.559,0.0,0.0,0.0,['home']
"The Delta [PERSON] house is having a party tonight , and you are cordially invited .","['delta', 'person', 'house', 'party', 'tonight', 'cordially', 'invited']",2,0.0,0.0,0.0,0.0,0.765,0.0,0.0,0.0,['party']
The reality however is much different .,"['reality', 'however', 'much', 'different']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
It's ... it's gonna take me a while to map out all of her movements .,"['gonna', 'take', 'map', 'movement']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Thank you for letting me trespass .,"['thank', 'letting', 'trespass']",8,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['trespass']
We weren't thinking of going quite that far with it .,"['werent', 'thinking', 'going', 'quite', 'far']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"No , you wouldn't .",['wouldnt'],7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Don't you understand ?,"['dont', 'understand']","1, 4, 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
gonna get another one ?,"['gonna', 'get', 'another', 'one']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Take your hands off there , you old fool .","['take', 'hand', 'old', 'fool']",3,0.0,0.0,0.461,0.0,0.0,0.0,0.0,0.0,['fool']
"Come on now , let's go home .","['come', 'let', 'go', 'home']",8,0.0,0.0,0.0,0.0,0.559,0.0,0.0,0.0,['home']
I'll be there .,['ill'],8,0.333,0.0,0.492,0.621,0.0,0.594,0.0,0.0,['ill']
It's difficult holding her .,"['difficult', 'holding']",4,0.0,0.0,0.0,0.359,0.0,0.0,0.0,0.0,['difficult']
Someday the revolution will come and we can overthrow our leader .,"['someday', 'revolution', 'come', 'overthrow', 'leader']",2,0.606,1.1720000000000002,0.0,0.906,0.0,0.203,0.664,1.0630000000000002,"['someday', 'revolution', 'overthrow', 'leader']"
"Good night , [PERSON] .","['good', 'night', 'person']",8,0.0,0.383,0.0,0.0,0.547,0.0,0.219,0.617,['good']
Those men hadn't even thought of that .,"['men', 'hadnt', 'even', 'thought']",7,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,['thought']
Ahem . Father brophy was very disturbed .,"['ahem', 'father', 'brophy', 'disturbed']","1, 6",0.559,0.0,0.0,0.0,0.0,0.5,0.0,0.586,"['father', 'disturbed']"
The captain has an honest face too .,"['captain', 'honest', 'face']",8,0.087,0.0,0.055,0.047,0.303,0.062,0.0,0.844,['honest']
The train is so stupid .,"['train', 'stupid']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I am far more powerful than you can ever imagine .,"['far', 'powerful', 'ever', 'imagine']","8, 1, 2",0.424,0.477,0.102,0.312,0.516,0.0,0.0,0.523,['powerful']
Oh yeah ? You wan na tell me why ?,"['oh', 'yeah', 'wan', 'na', 'tell']",1,0.0,0.0,0.0,0.281,0.0,0.312,0.0,0.0,['wan']
The sunsets were pink ...,"['sunset', 'pink']",4,0.0,0.453,0.0,0.0,0.312,0.0,0.0,0.0,['sunset']
How good to see you !,"['good', 'see']",5,0.0,0.383,0.0,0.0,0.547,0.0,0.219,0.617,['good']
"I've been doing some checking on you , Mr. [PERSON] .","['ive', 'checking', 'mr', 'person']","4, 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I can't believe that .,"['cant', 'believe']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Don't you ever sleep ?,"['dont', 'ever', 'sleep']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"One of these days , I'm gonna spend me the rest of my life in one of these hot ...","['one', 'day', 'im', 'gonna', 'spend', 'rest', 'life', 'one', 'hot']",2,0.529,0.0,0.0,0.0,0.907,0.0,0.0,0.0,"['rest', 'life', 'hot']"
Me and you are alive .,['alive'],"8, 5",0.0,0.461,0.0,0.0,0.531,0.0,0.0,0.5,['alive']
I think you've solved the problem .,"['think', 'youve', 'solved', 'problem']",8,0.0,0.0,0.0,0.266,0.0,0.438,0.0,0.0,['problem']
It's going to be a disaster .,"['going', 'disaster']","4, 6",0.721,0.0,0.508,0.875,0.0,0.758,0.812,0.0,['disaster']
The police would know what to do .,"['police', 'would', 'know']",8,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.484,['police']
Anything that man tells me will be a lie .,"['anything', 'man', 'tell', 'lie']",3,0.348,0.0,0.445,0.0,0.0,0.585,0.0,0.0,['lie']
Do you think I do ?,['think'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I deeded him the land and he guaranteed me half of what he got if he made the sale .,"['deeded', 'land', 'guaranteed', 'half', 'got', 'made', 'sale']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I haven't even told my wife yet . You haven't ?,"['havent', 'even', 'told', 'wife', 'yet', 'havent']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
We'll go together .,"['well', 'go', 'together']",2,0.0,0.0,0.0,0.0,0.394,0.0,0.0,0.0,['together']
I believe in your sweat .,"['believe', 'sweat']",8,0.0,0.0,0.0,0.219,0.0,0.0,0.0,0.0,['sweat']
"Well , what's there to talk about ?","['well', 'whats', 'talk']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
No she didn't . - Did you kill her ?,"['didnt', 'kill']","1, 6",0.0,0.0,0.0,0.962,0.0,0.797,0.0,0.0,['kill']
"Leader , party just got bigger .","['leader', 'party', 'got', 'bigger']",7,0.0,0.0,0.0,0.0,0.765,0.0,0.0,0.68,"['leader', 'party']"
Now let him win it back !,"['let', 'win', 'back']",7,0.0,0.0,0.0,0.0,0.727,0.0,0.0,0.0,['win']
You'll not take her while I live !,"['youll', 'take', 'live']",1,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.328,"['youll', 'live']"
Please come . Please come .,"['please', 'come', 'please', 'come']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Like one time , I was with this guy and he came into my bedroom and he was naked , except he still had his socks on .","['like', 'one', 'time', 'guy', 'came', 'bedroom', 'naked', 'except', 'still', 'sock']",7,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.484,"['like', 'time']"
Wouldn't you say that prison is my fate ?,"['wouldnt', 'say', 'prison', 'fate']","4, 6",0.529,0.555,0.0,0.625,0.0,0.594,0.0,0.438,"['prison', 'fate']"
And that's all I can give you .,"['thats', 'give']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
You lose the feel of the cards when you have so much action ... day in and day out .,"['lose', 'feel', 'card', 'much', 'action', 'day', 'day']",6,0.261,0.0,0.25,0.391,0.0,0.509,0.383,0.0,['lose']
They let you in again ?,['let'],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Because we've lived through it .,"['weve', 'lived']","1, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
After all she done ?,['done'],"6, 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Sure .,['sure'],"8, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Because we belong together .,"['belong', 'together']","8, 2",0.0,0.0,0.0,0.0,0.394,0.0,0.0,0.0,['together']
Better you than your mother .,"['better', 'mother']",3,0.0,0.406,0.0,0.0,0.412,0.016,0.0,0.703,['mother']
"That's a twist . - Oh , a fruit twist ?","['thats', 'twist', 'oh', 'fruit', 'twist']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Arguing's pretty much in my blood .,"['arguing', 'pretty', 'much', 'blood']",6,0.0,0.414,0.0,0.525,0.469,0.0,0.0,0.367,"['pretty', 'blood']"
"Look , is there someplace that we could go and talk ?","['look', 'someplace', 'could', 'go', 'talk']",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
You and [PERSON] are a couple of sluts .,"['person', 'couple', 'slut']",3,0.578,0.0,0.703,0.0,0.0,0.0,0.0,0.0,['slut']
Is not it so ?,[],3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I cast thee back to hell !,"['cast', 'thee', 'back', 'hell']",1,0.853,0.0,0.68,0.86,0.0,0.7,0.0,0.0,['hell']
"Now , by my watch , does not mean in the morning , but : .","['watch', 'mean', 'morning']","1, 3",0.0,0.523,0.0,0.188,0.25,0.0,0.0,0.0,"['watch', 'morning']"
Uncle [PERSON] ?,"['uncle', 'person']",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Keep your voice down !,"['keep', 'voice']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
This is my first night being a dad .,"['first', 'night', 'dad']","2, 4, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I don't want to be sent into that foreign atmosphere again .,"['dont', 'want', 'sent', 'foreign', 'atmosphere']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Escape is impossible .,"['escape', 'impossible']",4,0.0,0.625,0.0,0.406,0.0,0.5,0.0,0.0,"['escape', 'impossible']"
That was lovely .,['lovely'],5,0.0,0.555,0.0,0.0,0.719,0.009,0.18,0.586,['lovely']
You'll never deceive the people again !,"['youll', 'never', 'deceive', 'people']",1,0.547,0.0,0.461,0.0,0.0,0.562,0.0,0.328,"['youll', 'deceive']"
"let's drink to , uh , making new friends .","['let', 'drink', 'uh', 'making', 'new', 'friend']",8,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.75,['friend']
The man ends up looking like his heart attacked him .,"['man', 'end', 'looking', 'like', 'heart', 'attacked']",6,0.0,0.0,0.0,0.0,0.547,0.0,0.0,0.484,"['like', 'heart']"
You're staying here till the real law comes .,"['youre', 'staying', 'till', 'real', 'law', 'come']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1880000000000002,"['real', 'law']"
But I promise you that it will be the biggest innovation in the history of this business .,"['promise', 'biggest', 'innovation', 'history', 'business']",2,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.773,['promise']
"Background , [PERSON] . Tell me about it .","['background', 'person', 'tell']","8, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Your Majesty , being inside of your confidence ... is the greatest joy I've ever known .","['majesty', 'inside', 'confidence', 'greatest', 'joy', 'ive', 'ever', 'known']",5,0.0,0.445,0.0,0.109,1.471,0.0,0.0,1.141,"['majesty', 'confidence', 'joy']"
Come say hello to [PERSON] . Have you met ?,"['come', 'say', 'hello', 'person', 'met']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Why do you wear that rug ?,"['wear', 'rug']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,['wear']
That's not true .,"['thats', 'true']","1, 4",0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.789,['true']
"Anyway the orders promoting him to Detective , First Grade , have already been cut .","['anyway', 'order', 'promoting', 'detective', 'first', 'grade', 'already', 'cut']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Well , too much TV is bad for my ears .","['well', 'much', 'tv', 'bad', 'ear']","1, 3, 6",0.453,0.0,0.391,0.375,0.0,0.422,0.0,0.0,['bad']
All right . Set up a meeting . I'll hear them all out .,"['right', 'set', 'meeting', 'ill', 'hear']",2,0.333,0.0,0.492,0.621,0.0,0.594,0.0,0.0,['ill']
I'm the first to go .,"['im', 'first', 'go']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
I didn't see him again for five years .,"['didnt', 'see', 'five', 'year']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Oh , just things that little girls dream about .","['oh', 'thing', 'little', 'girl', 'dream']","3, 6, 7",0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.0,['dream']
"[PERSON] , please . Help .","['person', 'please', 'help']","8, 4",0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,['help']
He hates everybody .,"['hate', 'everybody']","1, 3",0.828,0.0,0.695,0.484,0.0,0.656,0.0,0.0,['hate']
