text	tokenized	preprocessed	label
And I fear no one , Especially an unholy spirit from an unsavory world .	['fear', 'one', 'especi', 'unholi', 'spirit', 'unsavori', 'world']	fear one especi unholi spirit unsavori world	1, 2
And I hate the way you drive , and I hate your stinking whiskey breath .	['hate', 'way', 'drive', 'hate', 'stink', 'whiskey', 'breath']	hate way drive hate stink whiskey breath	1
And I hate these fucking doughnuts .	['hate', 'fuck', 'doughnut']	hate fuck doughnut	1, 3
And I stormed out .	['storm']	storm	1
And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .	['want', 'list', 'everybodi', 'budget', 'research', 'account', 'financi', 'desk', 'tomorrow']	want list everybodi budget research account financi desk tomorrow	1
And I want [PERSON] and [PERSON] ... dead !	['want', 'person', 'person', 'dead']	want person person dead	1
And I'll have every gunboat in the Navy hunting ' ole Nemo .	['ill', 'everi', 'gunboat', 'navi', 'hunt', 'ole', 'nemo']	ill everi gunboat navi hunt ole nemo	1, 2
And I'll see you in court in three weeks .	['ill', 'see', 'court', 'three', 'week']	ill see court three week	1
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?	['im', 'ask', 'brief', 'cia', 'director', 'stuff', 'becaus', 'presid', 'lie']	im ask brief cia director stuff becaus presid lie	1, 7
And I'm warning you .	['im', 'warn']	im warn	1
And if I refuse to sign it ?	['refus', 'sign']	refus sign	1
And if there was , I sure as hell wouldn't tell you , colonel .	['sure', 'hell', 'wouldnt', 'tell', 'colonel']	sure hell wouldnt tell colonel	1
And if they try to , they'll find you dead .	['tri', 'theyll', 'find', 'dead']	tri theyll find dead	1
And if we could find it , it wouldn't have a tear .	['could', 'find', 'wouldnt', 'tear']	could find wouldnt tear	1
And if you don't take me to my hotel , that means I have to walk .	['dont', 'take', 'hotel', 'mean', 'walk']	dont take hotel mean walk	1, 6
And it changes because the people at the top forget how they got there .	['chang', 'becaus', 'peopl', 'top', 'forget', 'got']	chang becaus peopl top forget got	1, 3
And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...	['time', 'locat', 'govern', 'start', 'come', 'clean', 'becaus', 'theyr', 'veri', 'import', 'militari']	time locat govern start come clean becaus theyr veri import militari	1
And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .	['person', 'drink']	person drink	1
And just what do you want me to do ?	['want']	want	1
And let me remind you , we lost two key PA's in one day .	['let', 'remind', 'lost', 'two', 'key', 'pas', 'one', 'day']	let remind lost two key pas one day	1
And now they've lost it .	['theyv', 'lost']	theyv lost	1, 5, 6
And now this ?	[]		1
And one other thing :	['one', 'thing']	one thing	1, 2
And runnin' late as usual .	['runnin', 'late', 'usual']	runnin late usual	1
And see that you get out of town .	['see', 'get', 'town']	see get town	1
And so will you .	[]		1, 2
And stop fidgeting .	['stop', 'fidget']	stop fidget	1
And that they wouldn't hold Backpage responsible was very disturbing to me .	['wouldnt', 'hold', 'backpag', 'respons', 'veri', 'disturb']	wouldnt hold backpag respons veri disturb	1
And that's my mother ... running away .	['mother', 'run', 'away']	mother run away	1, 3, 6
And that's why I don't wan na talk about it if I don't have to .	['whi', 'dont', 'wan', 'na', 'talk', 'dont']	whi dont wan na talk dont	1
And the last time you were in my office , you told me you hadn't committed a crime to get the job done .	['last', 'time', 'offic', 'told', 'hadnt', 'commit', 'crime', 'get', 'job', 'done']	last time offic told hadnt commit crime get job done	1
And the other time .	['time']	time	1, 3
And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .	['sociopath', 'control', 'program', 'cant', 'allow', 'speak', 'planet', 'locat']	sociopath control program cant allow speak planet locat	1, 3, 4
And then he says , l sure hope he was guilty .  Then he laughs . 	['say', 'l', 'sure', 'hope', 'guilti', 'laugh']	say l sure hope guilti laugh	1, 3, 7
And then he'll run our lives and take our money .	['hell', 'run', 'live', 'take', 'money']	hell run live take money	1, 4
And then I shot him .	['shot']	shot	1
And then I'm gonna get this right back .	['im', 'gonna', 'get', 'right', 'back']	im gonna get right back	8, 1, 2, 5
And there's not a damn thing you can do about it , you understand me ?	['damn', 'thing', 'understand']	damn thing understand	1, 6
And these people in the union are smarter than what they used to be .	['peopl', 'union', 'smarter', 'use']	peopl union smarter use	1, 3
And this spic , [PERSON] , what a fucking nut case .	['spic', 'person', 'fuck', 'nut', 'case']	spic person fuck nut case	1, 3, 7
And treat those two impostors Just the same ...  	['treat', 'two', 'impostor']	treat two impostor	1
And very heavily .	['veri', 'heavili']	veri heavili	1
And w - what am I supposed to take your word for being worth ?	['w', 'suppos', 'take', 'word', 'worth']	w suppos take word worth	1, 3
And we think it's actually their job and they're not doing it .	['think', 'actual', 'job', 'theyr']	think actual job theyr	1
And we're finished playing the key cities .	['finish', 'play', 'key', 'citi']	finish play key citi	1
And we're trapped .	['trap']	trap	1, 7
And what does he want ?	['doe', 'want']	doe want	1
And what makes you think that note would interest me ?	['make', 'think', 'note', 'would', 'interest']	make think note would interest	1
And what point is that ?	['point']	point	1
And what sort of rubbish are you turning out now ?	['sort', 'rubbish', 'turn']	sort rubbish turn	1
And what will you do then , [PERSON] ?	['person']	person	1
And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .	['next', 'plane', 'shot', 'make', 'sure', 'get', 'name', 'age', 'innoc', 'victim', 'right']	next plane shot make sure get name age innoc victim right	1
And where I come from , you cut a deal with me to make sure I stop looking .	['come', 'cut', 'deal', 'make', 'sure', 'stop', 'look']	come cut deal make sure stop look	1, 2
And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .	['whoever', 'hold', 'locat', 'point', 'dagger', 'heart', 'locat']	whoever hold locat point dagger heart locat	1
And you agree ?	['agre']	agre	1, 3
And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .	['also', 'crossmodifi', 'judgment', 'entir', 'univers', 'creat', 'stage', 'upon', 'drama', 'human', 'develop', 'unfold']	also crossmodifi judgment entir univers creat stage upon drama human develop unfold	1
And you can't make me .	['cant', 'make']	cant make	1
And you think I don't ?	['think', 'dont']	think dont	1, 3
And you wan na know what else I think ?	['wan', 'na', 'know', 'els', 'think']	wan na know els think	1
And you were going to hate him for the rest of your life .	['go', 'hate', 'rest', 'life']	go hate rest life	1
And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .	['wouldnt', 'give', 'bent', 'kopeck', 'chanc', 'way', 'kept', 'admit', 'kill', 'old', 'ladi']	wouldnt give bent kopeck chanc way kept admit kill old ladi	1, 3
And you wouldn't want to endanger Mr. [PERSON] , would you ?	['wouldnt', 'want', 'endang', 'mr', 'person', 'would']	wouldnt want endang mr person would	1, 2, 4
And you , all the time laughing at me .	['time', 'laugh']	time laugh	1, 3
And you're gonna have to blow me up too !	['gonna', 'blow']	gonna blow	1
And you're shocked because I took credit for your idea .	['shock', 'becaus', 'took', 'credit', 'idea']	shock becaus took credit idea	1
[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .	['person', 'olla', 'told', 'problem', 'told', 'love', 'told', 'keep', 'trap', 'shut']	person olla told problem told love told keep trap shut	1
Another break - in by some ... Sex - crazed man .	['anoth', 'break', 'sex', 'craze', 'man']	anoth break sex craze man	1
Answer my question .	['answer', 'question']	answer question	1
Any decent church would've burnt you bastards years ago .	['ani', 'decent', 'church', 'wouldv', 'burnt', 'bastard', 'year', 'ago']	ani decent church wouldv burnt bastard year ago	1, 3
Any of you guys call me [PERSON] , and I'll kill you .	['ani', 'guy', 'call', 'person', 'ill', 'kill']	ani guy call person ill kill	1
Anybody can type .	['anybodi', 'type']	anybodi type	1
Anyhow , I'm sick a human life was lost .	['anyhow', 'im', 'sick', 'human', 'life', 'lost']	anyhow im sick human life lost	1
Anyone who would deface a work of art with a color like that ought to have his ass removed .	['anyon', 'would', 'defac', 'work', 'art', 'color', 'like', 'ought', 'ass', 'remov']	anyon would defac work art color like ought ass remov	1
Anything else ?	['anyth', 'els']	anyth els	1
Anything you say can and will be used against you in a court of law .	['anyth', 'say', 'use', 'court', 'law']	anyth say use court law	1
Anyway , we're late for school .	['anyway', 'late', 'school']	anyway late school	1, 2
Anyway , what's it matter to you ?	['anyway', 'matter']	anyway matter	1, 7
Anyway , when do you special intelligence officers do what you're supposed to do ?	['anyway', 'special', 'intellig', 'offic', 'suppos']	anyway special intellig offic suppos	1
Anyways , I don't give a damn .	['anyway', 'dont', 'give', 'damn']	anyway dont give damn	1
Are my glasses there ? Eh ... no .	['glass', 'eh']	glass eh	1
Are we gonna rescue an old man or stand here and argue ?	['gonna', 'rescu', 'old', 'man', 'stand', 'argu']	gonna rescu old man stand argu	1
Are we supposed to just sit here and wait ?	['suppos', 'sit', 'wait']	suppos sit wait	1
Are you blind ?	['blind']	blind	1
Are you confessing to this ?	['confess']	confess	1
Are you confused ?	['confus']	confus	1
Are you crazy ?	['crazi']	crazi	1, 7
Are you dumb ?	['dumb']	dumb	1
Are you fucking crazy ?	['fuck', 'crazi']	fuck crazi	1, 3
Are you going to come or do I have to drag you ?	['go', 'come', 'drag']	go come drag	1
Are you guys nuts ?	['guy', 'nut']	guy nut	1
Are you happy now , yeah ?	['happi', 'yeah']	happi yeah	1
Are you just about finished ?	['finish']	finish	1
Are you kidding me ?	['kid']	kid	1, 7
Are you kidding me ? !	['kid']	kid	1
Are you kidding ?	['kid']	kid	1, 7
Are you listening ?	['listen']	listen	1
Are you looking at my hands ?	['look', 'hand']	look hand	1
Are you mocking me ?	['mock']	mock	1
Are you off your trolley ?	['trolley']	trolley	1
Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .	['say', 'insan', 'defens', 'plus', 'took', 'lot', 'prescript', 'medicin']	say insan defens plus took lot prescript medicin	1
Are you telling me he's carrying a. and a. ?	['tell', 'hes', 'carri']	tell hes carri	1, 4
Are you telling me I don't know what a shark looks like ?	['tell', 'dont', 'know', 'shark', 'look', 'like']	tell dont know shark look like	1
Are you telling me not to worry but free the lab when you work everything out ?	['tell', 'worri', 'free', 'lab', 'work', 'everyth']	tell worri free lab work everyth	1
Aren't things bad enough without you talking about dying ?	['arent', 'thing', 'bad', 'enough', 'without', 'talk', 'die']	arent thing bad enough without talk die	1
Aren't you ever satisfied ?	['arent', 'ever', 'satisfi']	arent ever satisfi	1
Aren't you gonna tell me my sins are forgiven ?	['arent', 'gonna', 'tell', 'sin', 'forgiven']	arent gonna tell sin forgiven	1, 7
Aren't you human ?	['arent', 'human']	arent human	1
Aren't you supposed to know that ? Isn't that your job ? How could you be stupid enough to let somebody follow you ?	['arent', 'suppos', 'know', 'isnt', 'job', 'could', 'stupid', 'enough', 'let', 'somebodi', 'follow']	arent suppos know isnt job could stupid enough let somebodi follow	1
Argh ! Kaili !	['argh', 'kaili']	argh kaili	1
Art here saw her fighting him off .	['art', 'saw', 'fight']	art saw fight	1
As am I . The black community deserves so much better than [PERSON]'s failed policies .	['black', 'communiti', 'deserv', 'much', 'better', 'person', 'fail', 'polici']	black communiti deserv much better person fail polici	8, 1, 4
As he said , it's against the rules .	['said', 'rule']	said rule	1
As I said , sir it all depends how far we're willing to go .	['said', 'sir', 'depend', 'far', 'go']	said sir depend far go	1
As I told you , it's time we did something about it .	['told', 'time', 'someth']	told time someth	1
As in ... pointless .	['pointless']	pointless	1, 3, 4
As medical officer , I protest to the way he's being treated .	['medic', 'offic', 'protest', 'way', 'hes', 'treat']	medic offic protest way hes treat	1
As much as I would regret saving his .	['much', 'would', 'regret', 'save']	much would regret save	1
As you can see , I'm being relieved of command .	['see', 'im', 'reliev', 'command']	see im reliev command	1, 2, 6
As you can see , the available forces have been badly distributed .	['see', 'avail', 'forc', 'bad', 'distribut']	see avail forc bad distribut	1
As you know , over here , crime is not exploited to sell newspapers .	['know', 'crime', 'exploit', 'sell', 'newspap']	know crime exploit sell newspap	1, 5
Ask him what money , asshole .	['ask', 'money', 'asshol']	ask money asshol	1
Ask him !	['ask']	ask	1
Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?	['ask', 'sleep', 'isnt', 'person', 'anymor', 'want', 'know', 'smoke']	ask sleep isnt person anymor want know smoke	1
Assholes trying to round them up and put them in the back of trucks .	['asshol', 'tri', 'round', 'put', 'back', 'truck']	asshol tri round put back truck	1
At 10:00 , tomorrow morning , I want you to bring into my office either a letter denying emphatically that your remarks had any mystic implications or a letter of resignation .	['tomorrow', 'morn', 'want', 'bring', 'offic', 'either', 'letter', 'deni', 'emphat', 'remark', 'ani', 'mystic', 'implic', 'letter', 'resign']	tomorrow morn want bring offic either letter deni emphat remark ani mystic implic letter resign	1
At some point , she told me about this guy who used to come around to check on her .	['point', 'told', 'guy', 'use', 'come', 'around', 'check']	point told guy use come around check	1, 3, 4
Attention !	['attent']	attent	1, 2
Autographed by the criminal himself . Hey , buddy , are you gonna read it or buy it ?	['autograph', 'crimin', 'hey', 'buddi', 'gonna', 'read', 'buy']	autograph crimin hey buddi gonna read buy	1
Autumn , get out of here ! Don't fight anymore !	['autumn', 'get', 'dont', 'fight', 'anymor']	autumn get dont fight anymor	1, 4
Aw , I'll do what I damn well please .	['aw', 'ill', 'damn', 'well', 'pleas']	aw ill damn well pleas	8, 1, 5
Aye , yous like to call yourselves opportunists instead of anarchists .	['aye', 'yous', 'like', 'call', 'yourselv', 'opportunist', 'instead', 'anarchist']	aye yous like call yourselv opportunist instead anarchist	1
Back down ! - All right , all right , all right .	['back', 'right', 'right', 'right']	back right right right	1, 2, 4
Back in the village when they made fun of you , I wanted to kill them .	['back', 'villag', 'made', 'fun', 'want', 'kill']	back villag made fun want kill	1
Backpage refused to cooperate with the subcommittee's investigation .	['backpag', 'refus', 'cooper', 'subcommitte', 'investig']	backpag refus cooper subcommitte investig	1
Bad guy .	['bad', 'guy']	bad guy	1, 6, 7
Bad news . Your father cleaned out your bank account to pay for the damage to his store .	['bad', 'news', 'father', 'clean', 'bank', 'account', 'pay', 'damag', 'store']	bad news father clean bank account pay damag store	1, 6
Bastard !	['bastard']	bastard	1
Bastard .	['bastard']	bastard	1
Bastards .	['bastard']	bastard	1
[PERSON] , I'm waiting !	['person', 'im', 'wait']	person im wait	1, 2
Be a good fellow and get out now .	['good', 'fellow', 'get']	good fellow get	1
Be gone , Satan !	['gone', 'satan']	gone satan	1
Be nice to that girl .	['nice', 'girl']	nice girl	1
Be quiet !	['quiet']	quiet	1
Be quiet .	['quiet']	quiet	1
Be that as it may , it is a loan .	['may', 'loan']	may loan	8, 1
Because I already have it .	['becaus', 'alreadi']	becaus alreadi	1
Because I did not want in your life .	['becaus', 'want', 'life']	becaus want life	1, 3
Because I do not like you , Mom .	['becaus', 'like', 'mom']	becaus like mom	1, 7
Because I want to .	['becaus', 'want']	becaus want	8, 1, 2, 3
Because I'm still tired .	['becaus', 'im', 'still', 'tire']	becaus im still tire	1
Because it didn't work .	['becaus', 'didnt', 'work']	becaus didnt work	1
Because it hurts my ears when you do it .	['becaus', 'hurt', 'ear']	becaus hurt ear	1
Because of your colonel's stubbornness we are far behind schedule .	['becaus', 'colonel', 'stubborn', 'far', 'behind', 'schedul']	becaus colonel stubborn far behind schedul	1
Because she can't stand him !	['becaus', 'cant', 'stand']	becaus cant stand	1
Because soon you'll be history . That's enough ! In the name of God ,	['becaus', 'soon', 'youll', 'histori', 'enough', 'name', 'god']	becaus soon youll histori enough name god	1
Because this could be a threat to all life on [LOCATION] if we are reckless with this issue .	['becaus', 'could', 'threat', 'life', 'locat', 'reckless', 'issu']	becaus could threat life locat reckless issu	1, 4, 6
Because we've lived through it .	['becaus', 'weve', 'live']	becaus weve live	1, 5
Been trying to raise him for hours .	['tri', 'rais', 'hour']	tri rais hour	1
Before I heard about the bombing .	['befor', 'heard', 'bomb']	befor heard bomb	1, 4, 6
Behave yourself .	['behav']	behav	1
Being right ain't gonna do us any good .	['right', 'aint', 'gonna', 'us', 'ani', 'good']	right aint gonna us ani good	1
Believe me , I do . I think about it every goddamn day of my fucking life .	['believ', 'think', 'everi', 'goddamn', 'day', 'fuck', 'life']	believ think everi goddamn day fuck life	1, 3
[PERSON] , move it !	['person', 'move']	person move	1, 2
[PERSON] , I'm disappointed in you . Hiding under a nest while [PERSON] needs help .	['person', 'im', 'disappoint', 'hide', 'nest', 'person', 'need', 'help']	person im disappoint hide nest person need help	1, 6
[PERSON] must be crazy .	['person', 'must', 'crazi']	person must crazi	1
Besides , according to your story , you weren't exactly 100 % scientist after you took it .	['besid', 'accord', 'stori', 'werent', 'exact', 'scientist', 'took']	besid accord stori werent exact scientist took	1
Besides , I have to go to the goddamn senior honours dinner tonight .	['besid', 'go', 'goddamn', 'senior', 'honour', 'dinner', 'tonight']	besid go goddamn senior honour dinner tonight	1
[PERSON] , is you going out of your mind ?	['person', 'go', 'mind']	person go mind	1
Better open this door , [PERSON] .	['better', 'open', 'door', 'person']	better open door person	1
Better than yours .	['better']	better	1, 3
Between the cousins and neighbors , there were kids , always causing trouble together .	['cousin', 'neighbor', 'kid', 'alway', 'caus', 'troubl', 'togeth']	cousin neighbor kid alway caus troubl togeth	1
Big time hurt ! Back !	['big', 'time', 'hurt', 'back']	big time hurt back	1, 4
Bigger than you .	['bigger']	bigger	1, 3
Bit dicey .	['bit', 'dicey']	bit dicey	1, 3
Bitch !	['bitch']	bitch	1, 3
Blast off .	['blast']	blast	1
Bloody woman .	['bloodi', 'woman']	bloodi woman	1
Blow it , [PERSON] !	['blow', 'person']	blow person	1
Blowing them up .	['blow']	blow	1, 4
Blue , pink , yellow or orange ? - Green .	['blue', 'pink', 'yellow', 'orang', 'green']	blue pink yellow orang green	1
[PERSON] continued to invade your privacy .	['person', 'continu', 'invad', 'privaci']	person continu invad privaci	1
Boys ...	['boy']	boy	1
Break every mirror in the palace .	['break', 'everi', 'mirror', 'palac']	break everi mirror palac	1
Break it up . Break it up .	['break', 'break']	break break	1, 4
Bridge ...	['bridg']	bridg	1
Bring her back , girls , alive !	['bring', 'back', 'girl', 'aliv']	bring back girl aliv	1
Bring her in later .	['bring', 'later']	bring later	1, 4
Bring her .	['bring']	bring	1, 3, 4
Bring him to me !	['bring']	bring	1, 4
Bring him .	['bring']	bring	1, 3
Bring my gun when you come back !	['bring', 'gun', 'come', 'back']	bring gun come back	1
Bringin' her home in the middle of the night wouldn't help anybody , especially her .	['bringin', 'home', 'middl', 'night', 'wouldnt', 'help', 'anybodi', 'especi']	bringin home middl night wouldnt help anybodi especi	1
Bullshit !	['bullshit']	bullshit	1, 3
Bullshit ! What do you see ?	['bullshit', 'see']	bullshit see	1, 2
Bullshit .	['bullshit']	bullshit	1, 7
Burglars !	['burglar']	burglar	1, 4
Burn this !	['burn']	burn	1, 3, 4
Bury them for 24 , hours , give me time !	['buri', 'hour', 'give', 'time']	buri hour give time	1
Busted .	['bust']	bust	1, 4
