text	label
Nevertheless , I still believe that you love .	8
And we take care of our own here .	8
We'll get it together in a while , you know ?	2
Their mandate , repeat , their mandate , is to lie , deny , and deceive .	1, 3, 7
His wife is calling from the cellar .	7
If it wouldn't be too much trouble .	8, 4
Forgive me , Father , for I have sinned .	6
I'm too old to be traded in .	6
Hustled her off in a chopper .	1
How you doin' , [PERSON] ?	2
[PERSON] . [PERSON] , what happened ?	4
Am I late ? - No , no , not at all .	8
Come on out , you bastards !	3
Abracadabra !	7
Go on , [PERSON] .	2
Anything interesting ?	2
What would a plate like this be doing in a World War II munition ship ?	7
Oh , it's such a beautiful statue .	5
Something is breeding there . Underneath the cemetery .	4
You throw double sixes again , and I'll have you burned for a witch .	1, 2
Thanks again for the job for [PERSON] . She'll make a great receptionist . She's got an outgoing personality .	8, 5
I'll earn enough money to get us to [LOCATION] .	2
Because it is in love with her , clear .	5
People can be goddamn cruel .	3
Lacy , watch out !	4, 7
But you had to wait till now , now when [PERSON]'s dying ... to show me that I could never mean any more to you ... than this Watling woman does to [PERSON] .	6
I was sure it would meet with your approval .	8
I'd never fuck with you , because I really love you guys .	8, 4
Presumably you haven't done much betting , since you've only been wrong once in your life . Twice .	1
What was that ?  	4
Are you so sure that [PERSON] will attack ?	7
You got something against fat people , too ?	3
Are you kidding me ?	1, 7
If we are to be defeated , then we prefer to be defeated ... as human beings , not as barbarians .	1
You and I are such similar creatures .	8, 5
Do you believe that ?	7
It's all used notes .	6
I'll see you later , okay ?	5
A nice one , maybe .	5
I've always admired the way he went into the snow for his mates .	8, 5
When are you gonna fight a real fighter ?	1
We are not so vulnerable .	8
This is absurd .	7
Mrs. aglet , I apologize , But I guess I've always felt That these stories of demonic possession	1, 4
Yeah , I'm fine , Dad .	8
I hate this whole thing .	1
Maybe a house in [LOCATION] where they are rich .	2
I'm enjoying this .	5
Get off your ass , get a job and get a fucking life .	1, 3
It's not all a lie , [PERSON] .	1, 6, 7
So what do we do about the hostage situation , sir ?	4
Yes , sir , I still have the scars .	6
That means jobs we can all be proud of . And make Made in [LOCATION]  mean something again . 	2
This ain't your personal little war , you know .	1
Happy to have you with us .	5
I don't know what you think you're doing here , but you better get out of my office before you find yourself under arrest .	1, 3, 7
I really liked him . I did .	6
He's taken it again !	1
Talk what things over ?	7
Help . Help me .	4
I'm playing with you .	5
[PERSON] , you're weird .	5
Does he come here often ?	2
Well , it's , very kind of you ...	3
I died far away from my home	6
Don't anybody move !	4
This cutter's broken .	6
If only I'd done a better job .	6
Christ !	7
So if you can just enjoy yourself with him like he's enjoying himself with you ....	2
I said ... Burn in hell !	1
The odds against survival in this camp are even worse .	4
Daisy's leaving you .	6
Grow up . Leave your mother .	3, 6
Well , I'd begun to feel that I didn't have any part in your life , that I was an outsider .	6
They're to get here right away .	2
Man , you beat the best .	8
There's no change in it , is there ?	1, 7
Right , because it's a long shot . You could never love me back .	6
OK , so maybe I'll wise up someday too .	2, 5
Excuse me ...	1, 4
You're fired , [PERSON] .	6
I thought you said that they transferred him .	1, 7
I hope they haven't spotted us .	4
I just saved your life , and you still don't trust me ?	7
Do you feel like having Italian tonight ?	2
[PERSON] wrote something awful nice .	5
You're no hero , so don't worry about it .	3
I don't think you should drive .	4
Shut your mouth , Brother [PERSON] .	1
You know , you're expecting too much from that formula of B - 4 , Mr Oxly .	1
Get ready to go .	8, 5
My God , she's coming inside . Oh , God .	4
I love you !	8, 5
[PERSON]'s son used to sneak up these stairs to go to the roof , play [PERSON] to his friends .	8
Come on , it'll do your heart good .	5
Hey , freak - face , we found your pals .	3, 5
You ain't built for no fucking place like this !	1
A cockroach !	3
I'll show you a lot of things .	2
I hope you like clowns .	1, 7
That would be just great .	5
Green pastures await the tired sinner , and honey flows like water .	2, 5
Not an idiot ?	7
The pilots are up early for squadron exercises .	2
My bet says no other rider in the race will beat mine .	5
It is a crime that happens against children in every neighborhood , in every city and state in the country .	1, 3, 4
No , you have never loved me .	6
Mr. [PERSON] , do you think really that I could be a star ?	7
Let him go .	2, 4
By the way , any messages for me ?	2
I think that I'm pretty enough , but I would not want to be that kind of star .	6, 7
In charge of piers and warehouses ?	7
You were supposed to come Tuesday .	1, 6, 7
For instance , million pesos is not what it used to be .	8, 4
How about that ? Not bad .	7
Ladies and gentlemen , these photos depict horrors ...	3, 4
I thought he'd kill me .	4
And so will you .	1, 2
I will , if you don't stop nagging me .	1
Let me explain something to you .	8
Tell me the truth , son !	1
If we act together , we will survive together .	8
I love [LOCATION] .	5
Touch me and I'll sue .	1, 3
He's quite harmless .	8
Did you know I used to be the 11th best fencer in [LOCATION] ?	5
The Sheriff's charming .	5
[PERSON] does not get on that helicopter with the Royals . Instead she goes over to [PERSON]'s house and tries to kill him ?	2, 7
I'm thinking about my own ass .	5
They've done pretty well by you .	5
I try to help , but he doesn't listen to me , and I've got my own grief to work through .	6
Don't know if I'm ever gonna get my nails done now .	6
When ? - Call came in last night .	4, 7
I do not think that's important , right ?	3
This is just horrible .	4, 6
Yes , I come back , baby .	8, 2
Did you plant the bug ?	1, 2
You get to be the mayor who cleaned up [LOCATION] .	2, 5
He refuses an offer to merge with the New York Trust , the only thing that'll put this bank on safe ground .	1
You know , I'm not so fond of raising money , but I think it's idiotic to turn that job over to him .	3
Don't you realize that Americans dislike having their children stolen ?	3
I've reconsidered my position on your acquisition offer .	3
Stop biting your nails .	3
If we could be like this forever it would be great	6
As it happens , you are hardly in a position to have anything to say about it .	3
There was no way she would have showed up if she didn't think she was safe , especially with the child .	2, 5
I'm not denying anything .	1
We'll show them you're not afraid .	1
God better help them and help you , too .	8, 2, 4
Ready to ride ? Let's roll . If I'm gonna get inside this gang and stay out of jail ,	2, 5
I was winning ' .	2, 5
So , if we destroy the camera , they'll have no choice but to come in and film you themselves .	1, 4
And I ain't gonna repeat what he said .	1
You've no right to do it to him .	1
Would you like a little more tea ?	2
I am afraid to have said some things to [PERSON] what she will not forgive so early .	6
Hasn't got a halfpenny to his name .	3
Maybe you can hear this . The next time you cross me , you're gonna turn up missing .	3
I'll risk it .	2, 5
He was generous .	8, 5
Heard you walking around in here , figured I'd drop by .	2
He tried to remember that power he used to have over women back in his dangerous days .	6
I'd be delighted .	2, 5
I want you to have a heart attack and die so we never have to do this again .	3
You thought that everything would happen behind your back , ... For your secret mission .	3, 6
All right .	5
This is awful .	6
The job isn't mine yet , [PERSON] .	1, 2
[PERSON] , I'm not so sure about this .	2
( babbling ) - it will be fun have one of these in your house .	8, 2, 5
You're free . You're free from doubt . Free from having to make painful choices .	5
Ah , there he is .	5
Because it's on his way . Bye girlfriend !	2
How big is this thing ?	7
It forces me to beg as a beggar .	6
Maybe I wanted to see your face naked , no guard up , how you really felt hoping I would be wrong about something that I knew my entire life .	3, 6
Good old honest Shooter .	8
I thought you'd be thrilled to death .	7
Tommy The Machine  [PERSON] ! 	2
I'll do whatever I can . Here ...	8, 2
No diapers ?	7
They're coming here ... to [LOCATION] .	4
One matters of saying to us , Mr. [PERSON] , where it was in the Monday afternoon , day of June ?	1, 2
I only hope it isn't too high for you here .	4
[PERSON] thinks he's such a nice dog .	5
[PERSON] knows what she's doing .	8
Go to bed at night happy and then murdered .	4
I'll kill him !	1
Tell him it's none of his business .	1
I'd give you a kiss right now , but I'm afraid I'll ruin my makeup .	5
Are you all alone in there ?	6
I can't handle basic training again , man .	6
Some official's son got in trouble and they're looking for a substitute	6
That might be enough to win this race .	5
You think it's a good idea to hand me an ax right now ?	1
That's not judge [PERSON] .	7
It wasn't worth it .	1
A hundred years from now , nobody will know the difference .	2
That's the first thing Cross taught me .	8
I can't believe it was you on the phone .	7
Then , you still believed you could make a difference .	6
What flight and what name ? The name is ...	2
Don't settle for less because you're a whole lot more than that . 	8, 1
We're on vacation .	5
Hey , wait your turn .	1
They're pretty hopeless .	6
See you Monday on the train .	2
Why would anyone recognize me ?	1, 3, 6
You'd want your mommy too , if you had to say all this . - Cut !	1
I'm worried about the future , and what people will think .	4
Any favours that I do for you don't need any payment .	8
There's more where that came from .	2
I just want you to leave me alone .	1, 3, 6
I appreciate that , Agent [PERSON] .	8, 5
You can't take a bill nobody's heard of and discuss it among 96 , men .	1
I'm peeing my pants .	3, 4, 6
I know we can work through the petty stuff .	8, 2
I've had 10 , years to get ready for this .	2
Let's go get them , baby .	2
We assume that no commander of a [LOCATION] naval ship can possibly be a coward .	8
Give him quinine and stop pretending you're [PERSON] .	1
[PERSON] , she tore the fuckin' place apart .	3
Actually , we don't know a soul here .	7
It's portable , long - range , very expensive .	8, 2, 7
He's a real pro .	8
Car exploded outside .	4
[PERSON] , I don't mind you being stupid , but this is crazy .	3
Do you speak english ? - ( speaks spanish )	7
We'll never be parted again	8, 6
I wasn't there when he died .	4, 7
Looks like her schooling took place wherever they were stationed .	8
If you insist , I'll have eight more .	2
Now , you got any more smart talk ?	3
It's against Navy regulations .	1
You wouldn't be offended if I call the police ?	7
I got a better idea .	8, 2, 5
Hey , wait !	1
Does the clown work for [PERSON] too ?	3
Cheers .	5
You wrote me letters ?	7
by getting blackout drunk .	3
Come in , God .	5
[PERSON] , it's tapioca , Your favorite .	5
You can stay at my house because nobody really cares about me .	6
It's a bit like Monopoly , only more people get hurt .	3
Come on ! What's it mean , anyway ?	3
Because I always get lucky .	5
When does it happen ? When ?	4
Yeah . What did you ask up , buddy ?	2
So , congratulations , Admiral [PERSON] .	8, 5
Well , how did it go ?	2
Thank you , Lord !	5
How do I undo the spell ?	4
I haven't been up this early in years .	7
Amateur .	1, 3
Well , for starters , you can give me an update .	1
The man with the sweat was more pleasant than you .	3
I'm broke .	6
You can hardly expect the jury to believe that a woman in love doesn't attempt to meet her lover .	1
Is it that you think it'll be better for ... for all of us if you go away ?	6
You know , you have a worse mouth than my kid .	3
Death everywhere and you and me in the middle .	8, 6
Yes , Father , I'll tell him when he comes back .	8
I have no fucking idea why they towed it .	1
If the check hasn't cleared , we can still get out of it .	2
You beast .	3
All right , talk !	1, 2
I thought he didn't drink .	7
You should try it .	2
Unsatisfactory .	1, 3
That's right , boy .	8
You're my boss , that's it .	3
That's a stolen car .	4, 7
I'll use my magic to banish them !	1
[PERSON] asked me if I wanted to see him again .	7
Think he'll give me a raise ?	2
Hey , did you find him ?	2
She was very nervous when we left [LOCATION] .	6
That ain't gonna be easy .	4
Thank you , ma'am .	8
And now , he wants to buy me ?	2
I was free .	5
Go [PERSON] !	8, 2, 5
Five more minutes . - No !	1
The queen is never powerless .	8
She's turning into a corpse monster !	4
A Hexenbiest with your powers could be a very valuable asset to someone who respects them .	8
That's him right there !	2, 7
Hey , Kid .	8
Get down there , son !	8, 2
I hope to see more of you , when you're free of the spell of Mr. [PERSON] .	2
So , now I'm supposed to roll over like a bitch dog getting my belly scratched ?	3
The man has the biggest murder case in the city ... And he has to kiss your ring ?	3
I need to get up to see some people named [PERSON] .	2
I understand perfectly .	7
I only hope that you're good enough for the [PERSON] .	2
[PERSON] says he didn't rent a car . The rental company says he did . Whatever .	6
I really am in a hurry .	4
Don't you dare .	1
I shall wish a book jacket that is only letters .	8, 2
That's why you're getting older and she's getting younger !	1
There's nothing I can do about squabbles in the imperial court	1
Thank you . Good night .	5
Especially with a fortune in our falsies .	5
I can't start acting like a father now .	4, 6
I can't stand to see him hurt .	6
Mr. [PERSON] , you're playing with fire .	4
I'm sorry to hear that , Lady Fingers .	6
A little restraint ?	1
I like to watch .	5
Come on , then !	1, 2
Think them folks would spend a penny to send you east ?	3
But you're affecting the lives of a lot of other people .	1
One look from the head of [LOCATION] can turn all creatures into stone .	4
On it , you'll find the safest route .	8
This kid , bulldozing his way into our lives .	3
A pleasure to meet someone who understands that to the true gambler ... money is never an end in itself but simply a tool , as language is to thought .	8, 5
[PERSON] has disappeared .	1, 4, 6, 7
I thought I was someone who I wasn't .	7
Can you do me a favor and tell mom I'm okay And I'm not coming home .	8, 4
Nobody's gonna make me do that !	1
You're full of surprises .	7
It was nice of you to break your date .	5
And goddamn it , tuck up those pyjamas !	3
Could a battalion cross those peaks at night ?	2
Keep your mouth shut !	1
How long do you expect the world to believe those aren't your soldiers ?	3
Don't be afraid .	8
When did he die ?	6, 7
So I'm just asking you ... to be with me .	8
Relax ? I have never been more relaxed in my life !	1
My little finger , it's all black and blue .	4
[PERSON] , nice to meet you .	5, 7
There's plenty of money on you too .	2
I was wondering if your guy could treat my pool .	2
That'll be all , steward .	1
I'll invite [PERSON] to dinner Saturday .	5
[PERSON] , I hope this time you've come to stay .	2
The poor old governor has to go back to [LOCATION] and live on his pension , right ?	6
Stop ! Who goes there ?	1
No . ls someone looking for me ?	7
I mean , isn't that enough ?	1, 3
And then you get free .	2
Louder !	1
But they began spreading wild rumours about steaming in circles . -	1, 4
Maybe you'll even put in a good word for me ?	8
Why can't I play with you ?	6
Oh , here we are . - Oh .	7
It could work if the government would spend more money .	6
[PERSON] , take care of this .	8
Tomorrow , you'll be looking for a new cobbler or a new teacher .	2
Probably I'm prejudiced , but it seems to me that [PERSON] is a pretty cute young lady .	5
It's a pity some of you fellows haven't anything better to do .	3
Just like she killed you .	1, 6
Come on , let's have some kicks .	2, 5
I'd really like your help .	8
He's got all those .	8
I enjoy to live .	5
Damn it , Hob , [PERSON] needs us !	1
We'll answer anything you want to know .	8, 2, 5
Here's to bigger and better dopes .	5
They got ta be out of their minds !	7
As soon as we get near those cattle pens take [PERSON] and drive her out of town as fast as you can .	8
[PERSON] was here last night , trying to kill me .	4
I did not escape from there alone .	2
I'm listening to you eat .	3
The death of [PERSON] is a tragedy .	6
Hey , she loves those flabellina oculina !	5, 7
He's hurt pretty bad .	4
That's very funny .	5
Don't .	4, 6
How do you know I won't trick you and turn you in to the hands of the police ?	1
You look like death .	6
Let's get started .	2
Wouldn't they have done it anyway ?	7
Well , I find in a moment of anger follows a thousand nights of sorrow .	6
Lucito , huh ?	7
She was a hooker and made it sound so great .	3, 6
You're gonna drink it all , [PERSON] , even if it takes all night !	1, 2
Weren't nice of you fellas , trying to steal another man's horse .	3
You can't even cook my breakfast .	3
Poor lamb .	6
I think I just became the first president to ever publicly mention Area .	2
What ? !	7
OK , you know the drill .	7
It's got to be here !	5
Sometimes I think there's almost a chance for us .	5
It will get me in much trouble .  	4, 6
I'm not down . You look depressed .	5
Lovely woman . - Yes , I imagine what is .	5
Why do guys always know how to hit a woman right across the cheek , wham , and it feels like your eye is going to explode ?	3, 6
Well , he really got his monster , didn't he ?	1, 5
Honey , I haven't had a chance to really talk to her ...	6
He said you were a saintly old man who didn't hold with all the vices .	7
It's not negotiable , [PERSON] .	1
When does it leave ?	2
He'll take care of your mortgage .	7
You idiot .	1, 3
The hair looks good .	5
You're as bad as your sister , coming home from work at all hours and colours .	1, 3
It's too dangerous , it's utterly unpredictable .	4
How you hate the villain .	3
( laughter ) Gurning .	2, 5
And if one more guy makes a pass at me , I'm going to sock him in the face .	3
With a little push , we can launch our amphib assault in hours .	2
LeAnn's in [LOCATION] , trying to close the deal for the debate .	8
All right . Nobody move .	4
I ain't got no dad ! And I ain't got no mum !	6
And we desperately want to get out of organized crime .	2
[PERSON] just texted me to meet him , but call me back as soon as you can , okay ?	2
Preparing to move . Three passengers . On schedule .	8, 2
[PERSON] sat here ?	7
Here's you all playing rooster with it !	7
What , just to see me ?	7
Captain , there's a few bodies up there .	4, 7
Oh , [PERSON] , for people like you and me the world can be a wonderful place .	5
That's very rewarding , believe me .	5
You shouldn't be in here .	1
Go on , go to work .	1
All , applauding : Good answer ! Good answer !	5
He'd punch on my mother , too .	1, 3, 4
All we want you to do is tell us what you saw .	2
