text	label	labelarr	first_label
You don't get it , do you ?	1, 3	['1', ' 3']	1
[PERSON] , the baby ?	7	['7']	7
Awesome . This is rad .	5	['5']	5
I'm very pleased to meet you , sister [PERSON] .	5	['5']	5
It's a better world , we're all bound for .	8, 2	['8', ' 2']	8
Like private places , boy .	5	['5']	5
Just kiss my ass from now on .	1	['1']	1
That's what I pay you for .	1, 5	['1', ' 5']	1
I'm glad you're here to see nothing goes wrong .	8	['8']	8
Very well , I won't pry into trade secrets .	8	['8']	8
It's incredible stupidity ...	1, 6, 7	['1', ' 6', ' 7']	1
I'm a perfect surgeon .	5	['5']	5
Hastings , we will leave this , up to the lawyer of the Mrs. [PERSON] to be present .	4	['4']	4
Go home .	1, 3	['1', ' 3']	1
[PERSON] , you don't like this job any more than I do , do you ?	3	['3']	3
I can make a recess happen .	2	['2']	2
We'll show them you're not afraid .	1	['1']	1
I brought you something to drink .	8	['8']	8
They're hollow and empty .	3, 6	['3', ' 6']	3
He gave me some work to do and he left .	7	['7']	7
You know I talk to it sometimes , and I beg it to wake me up .	6, 7	['6', ' 7']	6
This is your problem .	1	['1']	1
I have rights .	1	['1']	1
Ah , he's peeing on me !	3	['3']	3
We have to give them something to hope for .	8	['8']	8
That's got it .	8	['8']	8
[PERSON] would get a shot every half hour so he could die without pain .	6	['6']	6
Did you do it ?	7	['7']	7
False alarms were common , And they didn't help our morale .	1	['1']	1
We were worried about [PERSON] .	4	['4']	4
There . Now it's perfect .	5	['5']	5
I've isolated her forever .	3	['3']	3
If I'd only figured it out before maybe we wouldn't have been trapped down here .	6	['6']	6
And nowhere is more dangerous than their local bar , the rat catcher .	4	['4']	4
It's nice to have company for tea .	5	['5']	5
I don't think I've seen you before .	7	['7']	7
If you die , your type will be extinct	6	['6']	6
He sweats gasoline that man !	3	['3']	3
I'm not available .	1, 3	['1', ' 3']	1
When did you discover that ?	7	['7']	7
Congratulations , [PERSON] .	8	['8']	8
Of course , you know that the first thing is to fall in love .	5	['5']	5
Right in the middle of our celebration ... the firebase got hit by a mortar attack .	4	['4']	4
I didn't know you were still here .	7	['7']	7
What am I gonna do when she has a baby ?	4	['4']	4
Listen to this .	2, 3	['2', ' 3']	2
Should I just stand around and let that drooling infant wrap that [LOCATION] dam appropriation around my neck ?	3	['3']	3
And if I kissed it ... and made a wish ... it'd come true .	2, 7	['2', ' 7']	2
Did you come to see me for the same reason as the man with sweat on his face ?	3	['3']	3
Don't bother to get up I'll take care of myself	1	['1']	1
You outclassed the bum , huh ?	8	['8']	8
You're really the tolerant type , [PERSON] !	7	['7']	7
Two good and happy years , for me at any rate . The night he fell to [LOCATION] ,	5	['5']	5
I will not do it .	1, 3, 5	['1', ' 3', ' 5']	1
You and me , we do business .	8	['8']	8
You did not bore me .	7	['7']	7
What was that crack ?	4	['4']	4
I was , up to the minute I saw this test .	1	['1']	1
I wanted to let you know that the ambulance was late in getting away .	6	['6']	6
How stupid of me !	1	['1']	1
So he goes out and he buys a bunch of roses .	2	['2']	2
I smell blood .	4	['4']	4
Ah , we're getting closer now to what happened ...	2, 5	['2', ' 5']	2
Let's go and see my cousin .	2	['2']	2
Will you let go of me !	1	['1']	1
I'll get my dinner .	2	['2']	2
Reel her in . Steady .	2	['2']	2
If I get the job , I'll buy you one hundred of 'em .	2	['2']	2
Are you drunk ?	3	['3']	3
I object to you coming here .	1	['1']	1
I'm not lying .	1, 6	['1', ' 6']	1
And you know what ? They offered us a job .	7	['7']	7
If I hurry , perhaps I might even be home in time for tea .	2	['2']	2
I mean , you said it yourself , [PERSON] . He's born for this .	8	['8']	8
What the hell happened in there ?	1, 7	['1', ' 7']	1
Hey , would you get a load of this joint ?	2	['2']	2
We don't understand .	6	['6']	6
Just look at this crowd .	3	['3']	3
I'm cold .	6	['6']	6
Don't leave me now .	4	['4']	4
I put the kettle on .	2	['2']	2
How good to see you !	5	['5']	5
The first little league in [LOCATION] with a dome .	5	['5']	5
He'll know what to do .	8	['8']	8
You don't have any messages for me , do you ?	2	['2']	2
Especially not to throw away your career with this team .	1, 3	['1', ' 3']	1
Where is your courage , Comrade [PERSON] ?	3	['3']	3
Why aren't they firing ?	4, 7	['4', ' 7']	4
Well , we'll figure something out .	8	['8']	8
That was the hope .	5	['5']	5
No - no - no - no ... now , see , half of my team is dead ... by your hand .	4, 6	['4', ' 6']	4
It's nice to have somebody to say goodbye to .	5	['5']	5
Come off a rumble , we'd beat the shit out of a gang .	1	['1']	1
Spent time making that , you know .	5	['5']	5
So that at least narrows down where they are right now .	5	['5']	5
They look like they've come to a funeral .	6	['6']	6
Of course , it's absurd that a priest would be involved .	7	['7']	7
Thirty years a Sheriff and all I've had to contend with are vicious animals .	1, 6	['1', ' 6']	1
Your whole story about how [PERSON] got his name on the door is bullshit !	1, 3	['1', ' 3']	1
So the basic problem is that I'm still around ?	1	['1']	1
I want some orange juice , eggs , bacon , toasted muffin and lots of coffee .	2	['2']	2
Well , because that makes sense .	2, 5	['2', ' 5']	2
How you going to stop me ?	1	['1']	1
I hope everything's going well with your marching .	8, 5	['8', ' 5']	8
Go on , [PERSON] .	2	['2']	2
We don't need any rush - hour Rambos there .	1	['1']	1
♪ And I think to myself ♪	5	['5']	5
I'll take you back and dump you .	1	['1']	1
Seems a shame to part company after all these years .	6	['6']	6
As far as I'm concerned , a coconut hit you on the mouth .	7	['7']	7
What a jerk .	1	['1']	1
I wanted to ask you a couple of questions .	2	['2']	2
Got ta have good nerves , though .	8	['8']	8
What are you smilin' at ?	1	['1']	1
He said again that the more early I was going away better .	1, 2, 4	['1', ' 2', ' 4']	1
Nitrates and phosphate for ammunition ... The seeds of war .	1, 2, 5	['1', ' 2', ' 5']	1
If he starts convincing those senators , you might as well blow your brains out !	4	['4']	4
Why don't we have a drink for old time's sake ?	2, 5	['2', ' 5']	2
They all coldcocked me .	1, 6	['1', ' 6']	1
Yeah , going public will not help you , or me .	2, 4	['2', ' 4']	2
Or didn't you think magicians could fall in love ?	2	['2']	2
And no one will believe me .	6	['6']	6
Poor child .	6	['6']	6
But there's the challenge .	4	['4']	4
I think it was a bowie knife , and I hate knives .	1, 2	['1', ' 2']	1
[PERSON] , how are you ?	8, 2	['8', ' 2']	8
We just have to find someone else with more sense .	3	['3']	3
Hey , since when have you ever ?	1	['1']	1
[PERSON] , my dear fellow , I know just exactly what you have in mind , and I couldn't agree with you more .	8, 5	['8', ' 5']	8
Just one ?	7	['7']	7
I was only trying to be nice to make her feel good .	6	['6']	6
That's it !	1	['1']	1
How much do you think he heard ?	4	['4']	4
[PERSON] was the fireball of our little cocoon .	8, 5	['8', ' 5']	8
Let's get rolling , man .	2	['2']	2
All other movements are restricted .	1, 2	['1', ' 2']	1
I bet you've known a lot of lawyers .	2	['2']	2
Of course I'm sweating , you moron .	3	['3']	3
You have the most unusual name , too .	7	['7']	7
Who would want to live in a graveyard ?	3, 7	['3', ' 7']	3
Turned out that my father and his business partner were involved in a Ponzi scheme .	1, 3	['1', ' 3']	1
But they began spreading wild rumours about steaming in circles . -	1, 4	['1', ' 4']	1
Let's go give that cop a bad time .	1, 2, 3, 5	['1', ' 2', ' 3', ' 5']	1
They would be bugging your phone , surveilling you hours a day , and they wouldn't have tipped you by sending [PERSON] . I -	4	['4']	4
That's right , sister .	8	['8']	8
But I can't play them with you .	6	['6']	6
Hurry up , suckers , you're dragging !	3	['3']	3
That isn't enough .	1, 6	['1', ' 6']	1
They all point to me .	4	['4']	4
And then I - I don't know what happened .	6	['6']	6
So you do not recognize me ?	6, 7	['6', ' 7']	6
Nobody messes with the Healys !	1	['1']	1
Something is breeding there . Underneath the cemetery .	4	['4']	4
Back to Righteous villa ? It's haunted !	4	['4']	4
Besides I can't -- l can't afford to lose bucks .	4	['4']	4
The way you've ignored us , you wouldn't think so .	3	['3']	3
Heavens , no !	4	['4']	4
I have risen to a difficult task .	4	['4']	4
I don't think he killed [PERSON] .	8	['8']	8
They can't get us in Hole in the Wall .	1, 4	['1', ' 4']	1
I'm not surprised . Me , too .	1, 4, 6	['1', ' 4', ' 6']	1
If a sorcerer's house isn't his castle , what is it ?	1, 2, 4, 7	['1', ' 2', ' 4', ' 7']	1
We'll get there .	2	['2']	2
She said that I put on airs . That I use big words like gesture  and  devastate .  	1, 3, 6	['1', ' 3', ' 6']	1
I suppose she means well .	4, 6	['4', ' 6']	4
With your brain and my strength , there is nothing we can not do .	8	['8']	8
Leave me alone !	1	['1']	1
What a man !	7	['7']	7
A deal is impossible .	4	['4']	4
I think I still have the key .	2	['2']	2
What the hell you doing ?	1	['1']	1
You don't know any name offhand you like better ?	3	['3']	3
This kid's cryin' , man .	6	['6']	6
Someday the revolution will come and we can overthrow our leader .	2	['2']	2
You can't take the life of another human being and get away with it !	3	['3']	3
One more to go , chicken .	1	['1']	1
You fall for a fruit man , you run off and marry him . Boy June , you really know how to pick them .	2, 5	['2', ' 5']	2
I need to get up to see some people named [PERSON] .	2	['2']	2
[PERSON] , leave the room .	1	['1']	1
This Chinese trade agreement is going to make [LOCATION] voters very happy .	2	['2']	2
What are we working out ?	2, 5	['2', ' 5']	2
Peaceful up here , in't it ?	5	['5']	5
There's no code we can't break .	8	['8']	8
[PERSON] , what the fuck took you so long ?	1	['1']	1
You're a detective now ?	7	['7']	7
Grow , cuz .	1	['1']	1
Go to your AA meetings -- - l want to do this film .	1, 2	['1', ' 2']	1
Isn't this fun ?	5	['5']	5
That was good .	5	['5']	5
On the weekends we go out and have a ball .	5	['5']	5
The defence has an interesting point .	7	['7']	7
[PERSON] , honey , would you like to freshen up Mr. [PERSON]'s drink a little bit ?	8, 5	['8', ' 5']	8
You stay out of my way .	1	['1']	1
I think we can finally nail [PERSON] .	2	['2']	2
Feel better ?	6	['6']	6
You ain't no Captain you and sure as hell ain't no [PERSON] .	3	['3']	3
[PERSON] is king .	8, 5	['8', ' 5']	8
Take good care of him .	8	['8']	8
They say he's got a brain .	1, 3	['1', ' 3']	1
You all right , [PERSON] ?	4	['4']	4
Might be it needs dragging up .	4	['4']	4
[PERSON] , are you all right ?	4	['4']	4
Bye - bye , baby .	5, 6	['5', ' 6']	5
It's for your own good .	8	['8']	8
You're going to be one unless you do exactly as I say .	1	['1']	1
Open it .	2	['2']	2
Yeah , yeah . I'm fine .	8	['8']	8
Find someone to type this .	8	['8']	8
What , are you guys blind or something ?	1	['1']	1
The moving finger had already writ and moved on , and nothing I could do would have canceled half a line , nor would my tears wash out a word of it .	6	['6']	6
If you're saying what I'm thinking you're saying , you better not say it because I don't wan na hear it .	1	['1']	1
Take care of you .	2	['2']	2
Hey . I love you .	8, 5	['8', ' 5']	8
Presumably you haven't done much betting , since you've only been wrong once in your life . Twice .	1	['1']	1
Oh , come on , have a brandy .	5	['5']	5
I'm really glad to meet you . - Mr. [PERSON] .	8, 5	['8', ' 5']	8
Don't worry about a thing .	8	['8']	8
So do you draw all the dads and their kids ?	2	['2']	2
I loved our life together , the school , subway walking you home , the two weeks we took in St.[LOCATION] .	8, 5, 6	['8', ' 5', ' 6']	8
I swear I didn't know .	3, 4, 6, 7	['3', ' 4', ' 6', ' 7']	3
Everyone sees this thing except me .	6	['6']	6
And , [PERSON] , I want you to get me the CEO of IBC ASAP .	2	['2']	2
Was she really sick ?	7	['7']	7
In a week , I can sell them anything .	2	['2']	2
I once went without food for 147 , days .	6	['6']	6
I'm your worst nightmare .	1, 2	['1', ' 2']	1
It was fortunate for you that I was here to save you .	8	['8']	8
Go call your pimp to look after you !	3	['3']	3
I wish I could spend more than two hours with you .	2, 6	['2', ' 6']	2
This is too beautiful to wear .	5, 7	['5', ' 7']	5
Yikes ! A penguin in a pot !	4	['4']	4
Well , uh , actually I'm just having coffee . I'm not having breakfast or anything .	4	['4']	4
I'm not going down there to get a tan .	1	['1']	1
Says who ?	1, 7	['1', ' 7']	1
What about him ?	7	['7']	7
All right , I'm coming in .	2, 5	['2', ' 5']	2
Come on , [PERSON] . This is no place for a clergyman's son .	1, 3	['1', ' 3']	1
I don't know what it is	7	['7']	7
I refuse to answer , sir .	1	['1']	1
The whole world sucks .	3, 6	['3', ' 6']	3
You stupid lizard ! Get off me !	1, 3	['1', ' 3']	1
No . If [PERSON] were with me ...	6	['6']	6
We got a schedule . Come on .	2	['2']	2
I'm getting tired of this .	1	['1']	1
You've forgotten , this is the th century .	6	['6']	6
By the way , [PERSON] , about your car ...	6	['6']	6
We've got to keep ... Keep daddy happy .	6	['6']	6
[PERSON] -[PERSON] , how do you do ?	7	['7']	7
Wait till you hear what's going down . It's strange .	2, 3	['2', ' 3']	2
Just because it is big and white and a yacht , is it not still dirt ?	1, 3, 7	['1', ' 3', ' 7']	1
I'm just a little anxious to get up there and whoop ET's ass , that's all .	2, 4, 5	['2', ' 4', ' 5']	2
Calm down !	8, 1	['8', ' 1']	8
Dressing is common courtesy , [PERSON] .	3	['3']	3
Banks today have got to be careful .	4	['4']	4
This kid , bulldozing his way into our lives .	3	['3']	3
Is that right , Shooter ?	1	['1']	1
I got him sold , [PERSON] .	5	['5']	5
She is right .	8	['8']	8
Then we can't let him get away again .	1	['1']	1
You do not deny , then , that such a monster could exist . Is that correct ?	1, 2, 3, 4, 6, 8	['1', ' 2', ' 3', ' 4', ' 6', ' 8']	1
There'll be no more talk of the captain being crazy .	1, 3	['1', ' 3']	1
[PERSON] , don't look so unhappy .	6	['6']	6
When we are strong ... And are at war ?	2	['2']	2
For God's sakes , put yourself in my position .	1	['1']	1
I wouldn't think of such a thing !	7	['7']	7
Got a guest , fam !	2, 5, 7	['2', ' 5', ' 7']	2
It's over now , nobody's hurt !	5	['5']	5
You're a good teacher , Frenchy !	8	['8']	8
You're our best shot .	8	['8']	8
Your opinion might be valuable .	8	['8']	8
That to marry [PERSON] would be the most senselessly cruel and destructive thing you will ever have done ?	1, 4, 7	['1', ' 4', ' 7']	1
Now !	1, 2	['1', ' 2']	1
I'll pay both of you .	8	['8']	8
She's empty .	7	['7']	7
Come on , we got ta warn him .	4	['4']	4
You're really sick , you know that ?	3	['3']	3
How come they're happier than us ?	1, 3	['1', ' 3']	1
I am varsity captain as a freshman .	8	['8']	8
Oh , my God !	7	['7']	7
[PERSON] , we've got a serious problem .	4	['4']	4
Go after him .	2	['2']	2
Escape is impossible .	4	['4']	4
Whether we live or die may depend on what happens here .	4	['4']	4
I was told : , and it's already been an hour .	1	['1']	1
That would be just great .	5	['5']	5
It was a gift from an admirer who said I was always late .	5	['5']	5
You'll go too far .	1, 4, 6	['1', ' 4', ' 6']	1
[PERSON] , will you ever get out from under Rocky's shadow ?	6	['6']	6
The island's ours ?	7	['7']	7
The doctor said you shouldn't excite yourself .	4	['4']	4
It is useless to ask .	1	['1']	1
And I was thinking ' Why haven't they arrested us ? ' 	4, 7	['4', ' 7']	4
[PERSON] , please !	1, 6	['1', ' 6']	1
I don't need marked cards to beat you , pal .	1	['1']	1
You play , you pay .	1	['1']	1
I mean that all my life I've been nothing .	6	['6']	6
Our horse is entered in the seventh race tomorrow .	2	['2']	2
Will you see my clothes are packed and sent over to the bachelors officers ' quarters ?	8, 2	['8', ' 2']	8
Get ready . We need you to drop something off .	2	['2']	2
Well , sweetie , it's tomorrow .	2	['2']	2
Of course , we're cooperating fully , Al.	8, 5	['8', ' 5']	8
You mind if I take my boots off ?	2	['2']	2
Therefore , owing to circumstances which , believe me , are beyond my control , I hereby advise you not to come to [LOCATION] to make the test .	3	['3']	3
Father . I'm seeing a pattern here .	2, 4	['2', ' 4']	2
Well , [PERSON] , I'm gonna make you my deputy .	8	['8']	8
I know the answer .	2	['2']	2
Does that make you more comfortable ? - Man :	8, 1, 2	['8', ' 1', ' 2']	8
It's not so simple . What the hell isn't so simple ?	1	['1']	1
He was the technology .	8, 7	['8', ' 7']	8
I take it you agree that it is possible for a publisher to also be a participant in a sex trafficking venture , where the pimp himself runs a website .	2	['2']	2
Once again , and faster .	2	['2']	2
That I knew how miserable you were with him ?	6	['6']	6
Anything serious ?	4	['4']	4
[PERSON] was that he had a co-conspirator who laundered the money for him , but no one could figure out who it was .	1	['1']	1
How can we be sure she'll help us free the Childlike Empress ?	6	['6']	6
Oh , [PERSON] , no .	6, 7	['6', ' 7']	6
Hop on , no time to lose .	8, 5	['8', ' 5']	8
Now they got of that Englishman's goons , and more are coming !	2, 3, 4	['2', ' 3', ' 4']	2
I'll give you a night to remember .	2	['2']	2
You do not let me down .	8	['8']	8
I wouldn't laugh if I were you .	1	['1']	1
I can't believe it .	7	['7']	7
For instance , million pesos is not what it used to be .	8, 4	['8', ' 4']	8
Hit me back , you coward .	1	['1']	1
Yeah , I sure feel sorry for you , [LOCATION] .	6	['6']	6
Maybe you'll buy me a couple of drinks .	2	['2']	2
I'm here to help you .	8	['8']	8
I will start with you .	2	['2']	2
Then you have to talk to him before tomorrow night .	2	['2']	2
I told you to not let them out of your sight !	1	['1']	1
Are you gonna retire or not ?	3	['3']	3
I don't know where I'd be with this bill if it wasn't for your help .	8	['8']	8
How did we end up talking about your death from my drug test ? I don't understand .	6	['6']	6
Bathing suits looked awfully funny 100 , years ago .	5	['5']	5
Now it's show time .	2, 5	['2', ' 5']	2
We've made a mistake .	4	['4']	4
I didn't get a chance to tell him .	6	['6']	6
Joséphine ?	7	['7']	7
Do we look like people that are capable of committing a crime ?	8	['8']	8
You really like her , [PERSON] ?	7	['7']	7
Yes , Elder	8	['8']	8
All the good in this world came from fools with faith like that .	6	['6']	6
I do not know who plays the violin . [PERSON] .	2, 4	['2', ' 4']	2
There are estimates out there that . million homeless kids are out on the street at any given time .	6	['6']	6
And a bad king is bad king , and worse one if he's [PERSON] .	3	['3']	3
He's a real pro .	8	['8']	8
big town ? I beg your pardon ?	6, 7	['6', ' 7']	6
You ain't very friendly , are you ?	1	['1']	1
Ah , for fuck's sake , mate .	1	['1']	1
Stronger mouthwash might be nice .	3	['3']	3
It's freedom for a woman to spread her legs like that on a magazine ?	3	['3']	3
How is that any different ?	6, 7	['6', ' 7']	6
When neighbors call -- Not that they do call ... I see them sniffing ... sniffing .	3	['3']	3
You've got a woman here ?	7	['7']	7
If I'm not on guard every moment , you steal across the border into reality .	4	['4']	4
It doesn't make sense .	6	['6']	6
gonna be some hard times coming down .	6	['6']	6
Happy may have hit on something tremendous here .	4	['4']	4
Round up everybody on a motorcycle .	2	['2']	2
You write the long word on top of the page , and under it , you write all of the short words you can make out of the long one .	8, 2	['8', ' 2']	8
You are here looking for a friend ?	7	['7']	7
Do you speak english ? - ( speaks spanish )	7	['7']	7
That's absurdly hypothetical .	6, 7	['6', ' 7']	6
You one of them rare youths , yeah ?	7	['7']	7
Come on , get on .	1	['1']	1
What the hell do you want ?	1	['1']	1
What's this about a film ?	7	['7']	7
You took money from me when I was playing , when I was winning .	1	['1']	1
I'm expecting great things from you .	2	['2']	2
It's fine .	8, 6	['8', ' 6']	8
We're onto something .	8, 2, 5, 7	['8', ' 2', ' 5', ' 7']	8
That's a lot of love , to give up the money he's making .	7	['7']	7
I'm listening to you eat .	3	['3']	3
It was damn stupid of me , wasn't it ?	6	['6']	6
Is it important ?	2	['2']	2
I , uh ...	6	['6']	6
No complaints .	5	['5']	5
And who's the happy father ?	5	['5']	5
We'll never be parted again	8, 6	['8', ' 6']	8
They just have felonies .	3	['3']	3
He'd kill you if he heard you .	1, 4	['1', ' 4']	1
I tried to enlist , they told them to me that I was too ancient .	6	['6']	6
That's him .	1	['1']	1
Stop talking like a fool !	3	['3']	3
Poor boy .	6	['6']	6
If you drop any charges against [PERSON] , we'll drop the lawsuit against you .	8, 4	['8', ' 4']	8
I turned pro at and I had eight fights .	8, 5, 7	['8', ' 5', ' 7']	8
We'll let them decide . Face the window .	3	['3']	3
I'm trusting you to be discreet .	8, 2	['8', ' 2']	8
I was not a good artist .	6	['6']	6
I hate him so fucking much .	1	['1']	1
Without the ring , there will be no sacrifice , without the sacrifice , no congregation .	8	['8']	8
We've cut the target adrift .	2	['2']	2
But I shouldn't have left like that . I'm sorry .	8, 6	['8', ' 6']	8
That does it .	1	['1']	1
They spent their own dough to get here , and they came here to see us .	8	['8']	8
You need sort of a. . .	2, 5	['2', ' 5']	2
Give a girl a chance to breathe .	1	['1']	1
All of a sudden , there's a lot of noise .	7	['7']	7
I was kind of expecting a shit show .	5, 7	['5', ' 7']	5
Then you don't approve .	1	['1']	1
Let's get hold of this [PERSON] before the others do .	1	['1']	1
It was well and nothing could change it .	5	['5']	5
Mr. [PERSON] loaned me his Bible here so I could practice my reading .	8	['8']	8
He ought to be president .	8	['8']	8
Officers are en route .	8, 2	['8', ' 2']	8
The question is what are you doing here ?	1	['1']	1
It is to you and you that my name means nothing .	3, 6, 7	['3', ' 6', ' 7']	3
Where's a good place ?	2	['2']	2
Don't lose a moment .	2	['2']	2
However , I'm counting on you to respond appropriately .	8	['8']	8
I'll show you a lot of things .	2	['2']	2
You're all worthless and weak !	3	['3']	3
What he did was , he just took my money .	6, 7	['6', ' 7']	6
That was all about to change .	2	['2']	2
Hey , Crystal , I want to show you this . Now , what's gonna happen here ...	1	['1']	1
You know what I'm talking about .	8	['8']	8
